team,player,overall
England,D. Alli,84
Germany,N. Süle,84
Portugal,Bernardo Silva,84
Italy,M. Perin,84
Brazil,Marquinhos,84
Colombia,D. Sánchez,84
Uruguay,J. Giménez,84
Germany,B. Leno,84
Spain,Sergi Roberto,84
Spain,Carvajal,84
France,F. Thauvin,84
Italy,Jorginho,84
Brazil,Alex Telles,84
Poland,W. Szczęsny,84
Netherlands,S. de Vrij,84
Portugal,A. Lopes,84
Portugal,William Carvalho,84
Spain,Sergio Asenjo,84
Germany,I. Gündoğan,84
France,A. Lacazette,84
Brazil,Neto,84
Spain,Rodrigo,84
South Korea,H. Son,84
Portugal,Quaresma,84
Italy,A. Barzagli,84
Argentina,A. Gómez,84
Spain,Raúl Albiol,84
Belgium,M. Dembélé,84
Spain,Cesc Fàbregas,84
Denmark,K. Schmeichel,84
France,K. Benzema,84
France,S. Ruffier,84
Greece,Sokratis,84
Brazil,Jonas,84
France,D. Payet,84
Spain,Javi Martínez,84
Brazil,Willian,84
Croatia,M. Mandžukić,84
Argentina,A. Di María,84
Spain,José Callejón,84
England,K. Walker,84
Spain,Illarramendi,84
Finland,L. Hrádecký,84
Armenia,H. Mkhitaryan,84
Colombia,J. Cuadrado,84
Brazil,Gabriel Jesus,83
Spain,Kepa,83
Brazil,Malcom,83
Croatia,M. Kovačić,83
France,A. Martial,83
France,T. Lemar,83
France,P. Kimpembe,83
Netherlands,M. Depay,83
Germany,L. Goretzka,83
France,A. Laporte,83
Germany,J. Tah,83
France,C. Tolisso,83
Guinea,N. Keïta,83
Germany,T. Horn,83
France,A. Rabiot,83
Spain,Samu Castillejo,83
Germany,T. Werner,83
Portugal,Bruno Fernandes,83
France,K. Coman,83
Portugal,Gonçalo Guedes,83
Brazil,Willian José,83
Portugal,Danilo Pereira,83
Spain,Morata,83
Germany,J. Draxler,83
Montenegro,S. Savić,83
England,J. Pickford,83
Spain,Manu Trigueros,83
Belgium,Y. Carrasco,83
Spain,Nacho Fernández,83
Spain,Gerard Moreno,83
Germany,R. Fährmann,83
Germany,O. Baumann,83
Netherlands,Q. Promes,83
Spain,Pepe Reina,83
Italy,D. De Rossi,83
Spain,Aduriz,83
France,S. Mandanda,83
Italy,E. Viviano,83
Brazil,Lucas Leiva,83
Portugal,Rui Patrício,83
Spain,Adán,83
Spain,Juan Mata,83
Argentina,E. Banega,83
Brazil,David Luiz,83
Brazil,Giuliano,83
Brazil,Luiz Gustavo,83
Italy,M. Balotelli,83
Netherlands,B. Dost,83
Japan,S. Kagawa,83
Netherlands,K. Strootman,83
Poland,K. Glik,83
Croatia,D. Subašić,83
Portugal,Pizzi,83
Brazil,Felipe,83
Spain,Lucas Vázquez,83
Brazil,Louri Beretta,83
Brazil,Josué Chiamulera,83
Brazil,Ronaldo Cabrais,83
Italy,G. Donnarumma,82
France,O. Dembélé,82
Brazil,Arthur,82
Italy,A. Romagnoli,82
Brazil,Anderson Talisca,82
Denmark,A. Christensen,82
France,C. Lenglet,82
France,L. Hernández,82
Jamaica,L. Bailey,82
Germany,S. Gnabry,82
Ghana,T. Partey,82
Germany,J. Brandt,82
Spain,Luis Alberto,82
Brazil,Rafinha,82
Spain,Suso,82
England,J. Stones,82
Italy,A. Belotti,82
Italy,F. Bernardeschi,82
Spain,Pau López,82
Ivory Coast,E. Bailly,82
Portugal,Gelson Martins,82
Spain,Rodri,82
Morocco,H. Ziyech,82
Italy,D. Rugani,82
Germany,M. Götze,82
Belgium,K. Casteels,82
Ivory Coast,W. Zaha,82
France,G. Kondogbia,82
Brazil,Felipe Anderson,82
Brazil,Fred,82
Czech Republic,J. Pavlenka,82
Germany,S. Mustafi,82
England,H. Maguire,82
Sweden,E. Forsberg,82
Switzerland,Y. Sommer,82
Netherlands,G. Wijnaldum,82
Turkey,O. Toprak,82
Wales,A. Ramsey,82
Brazil,Oscar,82
Spain,Marcos Alonso,82
Spain,Víctor Ruiz,82
Uruguay,S. Coates,82
Spain,Bartra,82
DR Congo,C. Bakambu,82
Brazil,Lucas,82
Brazil,Gabriel Paulista,82
Belgium,T. Meunier,82
Italy,S. Zaza,82
Italy,A. Florenzi,82
England,J. Lingard,82
Spain,Dani García,82
Croatia,A. Kramarić,82
Ivory Coast,J. Seri,82
Spain,Casillas,82
Spain,Joaquín,82
Czech Republic,P. Čech,82
Norway,R. Jarstein,82
Spain,David Villa,82
Brazil,Dani Alves,82
Argentina,L. Biglia,82
Italy,A. Consigli,82
France,L. Koscielny,82
Ecuador,A. Valencia,82
Italy,S. Sirigu,82
Brazil,Jardel,82
Argentina,E. Garay,82
Mexico,A. Guardado,82
Denmark,D. Wass,82
Spain,Marcano,82
Belgium,A. Witsel,82
Germany,L. Bender,82
France,O. Giroud,82
Argentina,F. Fazio,82
Croatia,V. Ćorluka,82
France,A. Rami,82
Serbia,L. Fejsa,82
Italy,M. Parolo,82
Germany,M. Kruse,82
England,J. Henderson,82
Argentina,N. Gaitán,82
Austria,M. Arnautović,82
Italy,S. Giovinco,82
Serbia,A. Kolarov,82
England,K. Trippier,82
Ukraine,Marlos,82
France,S. Nzonzi,82
Brazil,Taison,82
Italy,G. Bonaventura,82
Spain,Pedro,82
Argentina,J. Pastore,82
Spain,Ander Herrera,82
Senegal,I. Gueye,82
Russia,Mário Fernandes,82
Slovenia,K. Kampl,82
Spain,Jonathan Viera,82
Italy,F. Acerbi,82
Brazil,Allan,82
Bosnia and Herzegovina,E. Višća,82
Italy,F. Vázquez,82
Colombia,C. Bacca,82
England,J. Vardy,82
Brazil,Raphaelito Anjos,82
Brazil,Juiano Mestres,82
Brazil,Rosberto Dourado,82
England,M. Rashford,81
Spain,Grimaldo,81
France,B. Mendy,81
France,A. Doucouré,81
Portugal,João Cancelo,81
Spain,Williams,81
England,J. Butland,81
Portugal,Ricardo Pereira,81
Argentina,G. Rulli,81
Scotland,A. Robertson,81
Spain,Pablo Fornals,81
Argentina,M. Lanzini,81
France,A. Areola,81
Colombia,J. Murillo,81
Belgium,M. Batshuayi,81
Albania,E. Hysaj,81
Spain,Fabián,81
Switzerland,R. Bürki,81
Ivory Coast,S. Aurier,81
Switzerland,G. Xhaka,81
France,B. Lecomte,81
Croatia,S. Vrsaljko,81
Austria,M. Sabitzer,81
Serbia,M. Nastasić,81
Germany,A. Rüdiger,81
Wales,B. Davies,81
Venezuela,J. Martínez,81
Portugal,João Mário,81
Italy,S. El Shaarawy,81
Mexico,J. Corona,81
Cameroon,J. Matip,81
Netherlands,J. Cillessen,81
Germany,K. Volland,81
Spain,Deulofeu,81
Belgium,T. Hazard,81
England,C. Smalling,81
Switzerland,X. Shaqiri,81
Croatia,D. Lovren,81
Spain,Pablo Sarabia,81
Algeria,F. Ghoulam,81
Germany,C. Kramer,81
France,J. Mathieu,81
England,J. Milner,81
Brazil,Raffael,81
Germany,M. Gómez,81
Mexico,H. Herrera,81
Portugal,Manuel Fernandes,81
France,B. Gomis,81
Spain,Borja Valero,81
Portugal,João Moutinho,81
England,G. Cahill,81
Slovakia,M. Škrtel,81
Brazil,Renato Augusto,81
Mexico,C. Vela,81
Italy,D. Criscito,81
Italy,A. Candreva,81
Poland,L. Piszczek,81
Ghana,K. Boateng,81
Spain,Pedro León,81
France,K. Gameiro,81
France,M. Valbuena,81
Germany,S. Bender,81
Germany,B. Höwedes,81
Brazil,Marcelo,81
England,A. Lallana,81
France,A. Modeste,81
Uruguay,F. Muslera,81
Argentina,D. Perotti,81
Spain,Bruno,81
Iceland,G. Sigurðsson,81
Germany,L. Stindl,81
Russia,F. Smolov,81
Germany,S. Rudy,81
Brazil,Hulk,81
Spain,Iborra,81
Spain,Guaita,81
Argentina,E. Salvio,81
Brazil,Maicon,81
Chile,G. Medel,81
Italy,S. Verdi,81
Chile,C. Aránguiz,81
France,W. Ben Yedder,81
Spain,Vitolo,81
Slovenia,J. Iličić,81
Senegal,S. Sané,81
Spain,Morales,81
Brazil,Laure Santeiro,81
Netherlands,M. de Ligt,80
Spain,Odriozola,80
Poland,A. Milik,80
Poland,P. Zieliński,80
Albania,T. Strakosha,80
Spain,Oyarzabal,80
Spain,Carlos Soler,80
Argentina,A. Correa,80
Italy,M. Caldara,80
Mexico,H. Lozano,80
Germany,J. Weigl,80
Argentina,G. Lo Celso,80
France,B. Pavard,80
Portugal,Nélson Semedo,80
England,A. Oxlade-Chamberlain,80
Spain,Héctor Bellerín,80
United States,J. Brooks,80
Argentina,L. Paredes,80
Germany,E. Can,80
France,M. Sanson,80
Portugal,André Gomes,80
Spain,Santi Mina,80
Portugal,Rony Lopes,80
Senegal,K. Baldé,80
France,T. Bakayoko,80
Dominican Republic,Mariano,80
Argentina,C. Pavón,80
Nigeria,W. Ndidi,80
Uruguay,M. Gómez,80
England,E. Dier,80
Spain,Sergio Rico,80
Turkey,H. Çalhanoğlu,80
Germany,K. Demirbay,80
Argentina,F. Cervi,80
Paraguay,M. Almirón,80
Spain,Muniain,80
Netherlands,J. Zoet,80
Switzerland,R. Rodríguez,80
England,J. Tarkowski,80
England,N. Pope,80
Bosnia and Herzegovina,S. Kolašinac,80
Croatia,M. Brozović,80
Italy,M. Politano,80
Paraguay,F. Balbuena,80
Kenya,V. Wanyama,80
England,J. Wilshere,80
Germany,K. Vogt,80
Cameroon,V. Aboubakar,80
France,D. Sidibé,80
France,A. Pléa,80
Germany,M. Ginter,80
Argentina,E. Lamela,80
France,M. Sakho,80
Spain,Camacho,80
Germany,K. Trapp,80
England,N. Clyne,80
Serbia,A. Ljajić,80
Spain,Mario Gaspar,80
Turkey,C. Tosun,80
Spain,Hugo Mallo,80
England,P. Jones,80
Colombia,L. Muriel,80
Germany,M. Uth,80
Denmark,J. Vestergaard,80
Spain,Portu,80
Brazil,Bernard,80
Uruguay,M. Vecino,80
Cameroon,K. Toko-Ekambi,80
Argentina,M. Acuña,80
Ivory Coast,Y. Touré,80
Italy,S. Sorrentino,80
Spain,Fernando Torres,80
England,W. Rooney,80
Switzerland,S. Lichtsteiner,80
Spain,Moyá,80
Germany,B. Schweinsteiger,80
Portugal,Nani,80
Croatia,D. Srna,80
Italy,A. Mirante,80
Argentina,J. Mascherano,80
Spain,Santi Cazorla,80
Spain,Diego López,80
Spain,Juanfran,80
Russia,I. Denisov,80
Russia,I. Akinfeev,80
England,A. Young,80
France,A. Gignac,80
Sweden,A. Granqvist,80
Brazil,Dante,80
France,L. Perrin,80
Italy,F. Quagliarella,80
England,T. Heaton,80
France,L. Diarra,80
Poland,L. Fabiański,80
Romania,S. Radu,80
England,D. Rose,80
Belgium,S. Defour,80
Spain,Raúl García,80
England,D. Sturridge,80
Argentina,D. Valeri,80
Argentina,S. Romero,80
Slovenia,V. Birsa,80
Argentina,I. Piatti,80
Argentina,A. Fernández,80
Spain,Beñat,80
Spain,Nacho Monreal,80
Spain,Ángel,80
Spain,Kiko Casilla,80
Spain,Fabricio,80
Portugal,Antunes,80
Brazil,Alexandre Pato,80
Republic of Ireland,S. Coleman,80
Montenegro,S. Jovetić,80
England,F. Delph,80
Uruguay,C. Stuani,80
Argentina,M. Musacchio,80
Germany,S. Ulreich,80
Russia,A. Dzagoev,80
Algeria,R. Boudebouz,80
Cameroon,N. Nkoulou,80
Spain,Susaeta,80
England,B. Mee,80
Spain,Iago Falqué,80
Spain,Kike García,80
Morocco,Y. Belhanda,80
Germany,D. Didavi,80
Ukraine,A. Yarmolenko,80
Spain,Sergi Enrich,80
Ukraine,Y. Rakitskyi,80
Italy,D. Caligiuri,80
Croatia,D. Vida,80
Serbia,D. Tadić,80
Spain,Nolito,80
Spain,Cristian Tello,80
Croatia,M. Badelj,80
Argentina,M. Rojo,80
Germany,K. Bellarabi,80
Israel,E. Zahavi,80
Japan,T. Inui,80
Morocco,Z. Feddal,80
Ukraine,T. Stepanenko,80
Brazil,Raúl,80
Mali,M. Marega,80
Brazil,Everton Andrão,80
Brazil,Welington Dano,80
Belgium,Y. Tielemans,79
United States,C. Pulisic,79
Germany,K. Havertz,79
Portugal,Rúben Neves,79
Spain,Marcos Llorente,79
Brazil,David Neres,79
Spain,Denis Suárez,79
Russia,R. Zobnin,79
Germany,M. Dahoud,79
Argentina,L. Martínez,79
Brazil,Raphinha,79
Ukraine,V. Tsygankov,79
Norway,M. Elyounoussi,79
Paraguay,A. Sanabria,79
Sweden,V. Lindelöf,79
Russia,A. Golovin,79
France,L. Tousart,79
Spain,Paco Alcácer,79
Algeria,A. Mandi,79
England,L. Shaw,79
Burkina Faso,B. Traoré,79
Netherlands,N. Aké,79
Spain,Gayà,79
Algeria,N. Bentaleb,79
Portugal,Ricardo Horta,79
Colombia,J. Lerma,79
Ivory Coast,J. Gbamin,79
Germany,M. Philipp,79
Slovenia,B. Verbič,79
Spain,Sergi Darder,79
Germany,L. Karius,79
Netherlands,K. Rekik,79
Spain,Jonny,79
Portugal,Bruma,79
Germany,M. Meyer,79
Portugal,Sérgio Oliveira,79
England,R. Barkley,79
Austria,M. Gregoritsch,79
Sweden,J. Guidetti,79
Spain,Campaña,79
France,L. Kurzawa,79
Germany,L. Bittencourt,79
Netherlands,D. Klaassen,79
Italy,D. Baselli,79
Brazil,Leo Baptistao,79
England,M. Keane,79
Spain,Pacheco,79
Argentina,N. Tagliafico,79
Argentina,L. Alario,79
Brazil,Jemerson,79
Portugal,Rafa,79
Croatia,A. Rebić,79
Argentina,G. Pezzella,79
Australia,M. Ryan,79
Netherlands,M. van Ginkel,79
Czech Republic,P. Kadeřábek,79
Germany,W. Orban,79
Serbia,L. Milivojević,79
Spain,Omar Mascarell,79
Argentina,R. Centurión,79
Italy,D. Zappacosta,79
Russia,A. Lunev,79
Brazil,Sidnei,79
Germany,R. Zieler,79
France,Y. M'Vila,79
France,F. Coquelin,79
Brazil,Ricardo Goulart,79
Turkey,Y. Mallı,79
Denmark,T. Delaney,79
Scotland,T. Cairney,79
France,J. Guilavogui,79
Brazil,Danilo,79
Netherlands,S. Berghuis,79
Uruguay,G. Ramírez,79
Netherlands,J. Gouweleeuw,79
Germany,D. Demme,79
Spain,Álvaro,79
Cape Verde,Zé Luís,79
Spain,Iñigo Martínez,79
Argentina,I. Marcone,79
Argentina,R. Battaglia,79
Uruguay,M. Campaña,79
Serbia,M. Dmitrović,79
Brazil,Soares,79
Togo,E. Adebayor,79
Germany,R. Adler,79
Turkey,B. Yılmaz,79
Germany,D. Baier,79
Spain,Jesús Navas,79
Netherlands,R. Babel,79
Peru,J. Farfán,79
Ivory Coast,S. Kalou,79
Argentina,E. Lavezzi,79
Argentina,D. Abraham,79
France,H. Ben Arfa,79
Brazil,Charles,79
England,T. Walcott,79
Italy,A. Masiello,79
England,R. Bertrand,79
England,J. Cork,79
Turkey,N. Şahin,79
Portugal,Fábio Coentrão,79
Bosnia and Herzegovina,A. Begović,79
Belgium,S. Mignolet,79
Chile,C. Bravo,79
Sweden,P. Wernbloom,79
Belgium,M. Fellaini,79
France,M. Schneiderlin,79
Mexico,J. Hernández,79
Italy,Eder,79
Netherlands,R. Vormer,79
Denmark,S. Kjær,79
Greece,O. Karnezis,79
Germany,N. Petersen,79
Argentina,G. Mercado,79
Argentina,P. Piatti,79
Guinea,I. Traoré,79
Brazil,Fernando,79
Portugal,Adrien Silva,79
Algeria,S. Feghouli,79
Brazil,Mariano,79
Hungary,P. Gulácsi,79
Croatia,N. Kalinić,79
England,D. Drinkwater,79
Ghana,K. Asamoah,79
Russia,I. Smolnikov,79
Brazil,Alex Teixeira,79
Brazil,Souza,79
Germany,B. Hübner,79
Brazil,Rafael,79
Spain,De Marcos,79
Switzerland,M. Hitz,79
Spain,Canales,79
Netherlands,D. Blind,79
Slovakia,J. Kucka,79
Iceland,J. Guðmundsson,79
Chile,F. Orellana,79
Germany,H. Badstuber,79
Spain,Escudero,79
Argentina,R. Pereyra,79
Spain,Jaume Costa,79
Austria,G. Burgstaller,79
Portugal,André Almeida,79
Spain,Borja García,79
Australia,A. Mooy,79
Spain,Sergio León,79
Spain,Lucas Pérez,79
Spain,Ibai Gómez,79
Ukraine,Y. Konoplyanka,79
Brazil,Ismaily,79
Spain,David López,79
Spain,Roque Mesa,79
Argentina,G. Pizarro,79
Germany,J. Hector,79
Argentina,F. Armani,79
Argentina,D. Benedetto,79
Spain,Granell,79
Brazil,Maikel Catarino,79
Brazil,Antônio Chiamuloira,79
Brazil,Melvin Parrela,79
Brazil,Gabri Prestão,79
Brazil,Luimo Boas Santos,79
England,T. Alexander-Arnold,78
France,H. Aouar,78
Spain,Dani Ceballos,78
Switzerland,M. Akanji,78
Ivory Coast,F. Kessié,78
France,T. Ndombele,78
Italy,B. Cristante,78
Serbia,A. Živković,78
Spain,Pablo Maffeo,78
Portugal,Diogo Jota,78
Spain,Vallejo,78
France,A. Diallo,78
Netherlands,F. de Jong,78
France,W. Cyprien,78
Colombia,W. Barrios,78
France,A. Saint-Maximin,78
Argentina,G. Simeone,78
Argentina,G. Escalante,78
Colombia,Y. Mina,78
Argentina,G. Conti,78
Uruguay,L. Torreira,78
Germany,N. Amiri,78
Cameroon,A. Onana,78
Croatia,F. Krovinović,78
Morocco,A. Harit,78
North Macedonia,E. Bardhi,78
France,K. Zouma,78
Belgium,A. Januzaj,78
Brazil,Andreas Pereira,78
Brazil,Otávio,78
Denmark,P. Sisto,78
Belgium,L. Dendoncker,78
Germany,N. Stark,78
Slovakia,S. Lobotka,78
Turkey,E. Ünal,78
France,V. Rongier,78
Portugal,Daniel Podence,78
Italy,L. Pellegrini,78
Argentina,S. Ascacíbar,78
Portugal,Rúben Dias,78
Turkey,O. Özyakup,78
France,L. Digne,78
France,J. Veretout,78
France,J. Roussillon,78
Brazil,Fernando,78
England,J. Lascelles,78
France,S. Haller,78
Germany,M. Arnold,78
Germany,M. Weiser,78
Brazil,Matheus,78
Spain,Óliver Torres,78
Portugal,R. Guerreiro,78
Italy,D. Berardi,78
Spain,Pere Pons,78
Gabon,M. Lemina,78
Netherlands,K. Tete,78
Angola,Bastos,78
Zimbabwe,M. Nakamba,78
Spain,Loren,78
Portugal,Cláudio Ramos,78
Italy,M. De Sciglio,78
Egypt,M. Elneny,78
Italy,R. Gagliardini,78
Russia,A. Selikhov,78
Brazil,Wendell,78
Argentina,G. Martínez,78
Czech Republic,T. Koubek,78
Italy,C. Piccini,78
Colombia,S. Arias,78
Germany,P. Max,78
Colombia,J. Mojica,78
Argentina,E. Rigoni,78
Serbia,N. Maksimović,78
Iran,A. Jahanbakhsh,78
Italy,M. Sportiello,78
Spain,Capa,78
Portugal,Paulinho,78
Brazil,Diego Carlos,78
Portugal,João Novais,78
Greece,K. Papadopoulos,78
Norway,J. King,78
Brazil,Rafael Tolói,78
England,J. Shelvey,78
Belgium,C. Kabasele,78
New Zealand,C. Wood,78
Germany,M. Plattenhardt,78
Serbia,N. Gudelj,78
England,C. Wilson,78
France,F. Lejeune,78
Spain,Oriol Romeu,78
Belgium,H. Vanaken,78
Germany,N. Schulz,78
Germany,C. Schindler,78
Italy,R. Saponara,78
France,B. Reynet,78
Brazil,Tiago Volpi,78
Colombia,J. Quintero,78
Portugal,Paulo Oliveira,78
Portugal,Ricardo Esgaio,78
Uruguay,D. Laxalt,78
Spain,David Soria,78
Montenegro,A. Marušić,78
France,C. Grenier,78
Turkey,V. Babacan,78
Poland,G. Krychowiak,78
France,B. Stambouli,78
Senegal,K. Mbodji,78
France,A. Trebel,78
Czech Republic,T. Vaclík,78
Portugal,Mário Rui,78
Mexico,R. Jiménez,78
Germany,N. Füllkrug,78
Germany,J. Hofmann,78
Germany,M. Halstenberg,78
Argentina,F. Ferreyra,78
Argentina,C. Izquierdoz,78
Colombia,D. Zapata,78
Argentina,M. Meza,78
Netherlands,R. van Persie,78
Portugal,Danny,78
England,P. Jagielka,78
Spain,Rubén Castro,78
Canada,A. Hutchinson,78
Netherlands,M. Vorm,78
Argentina,L. Ponzio,78
Argentina,L. López,78
Argentina,M. Barovero,78
Ukraine,A. Pyatov,78
Argentina,C. Tévez,78
Argentina,F. Belluschi,78
Turkey,A. Turan,78
Spain,Negredo,78
Spain,Javi Fuego,78
Spain,Soldado,78
Germany,L. Podolski,78
England,J. Hart,78
Argentina,J. Sand,78
Brazil,Hilton,78
France,B. Costil,78
France,M. Debuchy,78
Germany,C. Gentner,78
Spain,Jurado,78
Italy,R. Montolivo,78
Spain,Javi García,78
Morocco,K. El Ahmadi,78
England,L. Baines,78
Spain,Sergio,78
Brazil,Adriano,78
Italy,G. Pellè,78
South Africa,I. Khune,78
Argentina,N. Pareja,78
Argentina,F. Gago,78
Germany,G. Castro,78
Serbia,D. Basta,78
Italy,I. Abate,78
Northern Ireland,J. Evans,78
Portugal,José Fonte,78
Netherlands,E. Elia,78
Belgium,K. Mirallas,78
Spain,Manu García,78
Spain,Coke,78
Finland,N. Moisander,78
Nigeria,V. Moses,78
Argentina,C. Ansaldi,78
Austria,Z. Junuzović,78
England,J. Tomkins,78
Colombia,D. Ospina,78
Sweden,M. Berg,78
Colombia,C. Zapata,78
Spain,Granero,78
Mexico,M. Layún,78
Netherlands,J. Lens,78
France,L. Rémy,78
France,D. Da Silva,78
Brazil,Hernanes,78
Russia,Guilherme,78
Brazil,Luiz Adriano,78
Uruguay,M. Cáceres,78
Morocco,N. Amrabat,78
Greece,K. Mitroglou,78
Serbia,N. Subotić,78
Italy,A. Ogbonna,78
Germany,S. Wagner,78
Morocco,M. Carcela-González,78
Argentina,L. Pratto,78
France,R. Alessandrini,78
Mexico,E. Hernández,78
Mexico,M. Fabián,78
Japan,K. Honda,78
Russia,A. Dzyuba,78
Brazil,Jefferson,78
Republic of Ireland,J. McCarthy,78
Bosnia and Herzegovina,S. Lulić,78
Portugal,Miguel Lopes,78
Portugal,Daniel Carriço,78
Albania,E. Berisha,78
Spain,Iturraspe,78
Austria,J. Baumgartlinger,78
Netherlands,L. de Jong,78
Brazil,Elkeson,78
Germany,A. Schürrle,78
Spain,Herrerín,78
Italy,R. Soriano,78
France,R. Cabella,78
Tunisia,W. Khazri,78
Spain,Adrián,78
England,A. Townsend,78
Iceland,A. Finnbogason,78
Colombia,G. Moreno,78
Argentina,E. Pérez,78
Israel,B. Natcho,78
England,M. Lowton,78
Chile,P. Hernández,78
Spain,Arbilla,78
Belgium,N. Chadli,78
Brazil,Juan Jesus,78
Czech Republic,V. Darida,78
Romania,C. Tătăruşanu,78
France,V. Germain,78
Peru,A. Carrillo,78
Uruguay,S. García,78
Morocco,F. Fajr,78
Brazil,Marcelo,78
Argentina,L. Castro,78
Italy,L. Pavoletti,78
Romania,V. Chiricheş,78
Ukraine,D. Garmash,78
Japan,H. Sakai,78
Cape Verde,Garry Rodrigues,78
Argentina,A. Szymanowski,78
Algeria,I. Slimani,78
Brazil,Petros,78
Syria,O. Al Soma,78
Argentina,M. Díaz,78
Brazil,Ronaldo Esler,78
Brazil,Claudio Coíntra,78
Brazil,Everticinho,78
Brazil,Sidney Pessinho,78
Brazil,Vinícius Júnior,77
France,A. Lafont,77
Italy,P. Cutrone,77
England,J. Gomez,77
Italy,D. Calabria,77
Guinea,A. Diawara,77
Senegal,A. Ndiaye Diedhiou,77
Czech Republic,P. Schick,77
Turkey,C. Ünder,77
France,N. Mukiele,77
Switzerland,D. Zakaria,77
Italy,F. Chiesa,77
England,R. Loftus-Cheek,77
Mexico,E. Gutiérrez,77
Netherlands,S. Bergwijn,77
France,F. Mendy,77
Portugal,André Silva,77
France,J. Gnagnon,77
Brazil,Richarlison,77
Spain,Aarón Martín,77
Spain,Rubén Blanco,77
France,L. Dubois,77
Switzerland,N. Elvedi,77
Germany,M. Eggestein,77
Germany,T. Kehrer,77
Germany,W. Anton,77
Czech Republic,A. Barák,77
Senegal,M. Niang,77
Turkey,O. Yokuşlu,77
England,W. Hughes,77
Belgium,J. Lukaku,77
Germany,D. Selke,77
Portugal,Rúben Vezo,77
Argentina,J. Calleri,77
Spain,Munir,77
Spain,Jorge Meré,77
Germany,M. Wolf,77
France,V. Koziello,77
Spain,Álex Remiro,77
Spain,Yeray,77
Russia,G. Dzhikiya,77
Japan,S. Nakajima,77
Brazil,Bruno Viana,77
Mexico,D. Reyes,77
Spain,Sergi Gómez,77
England,J. Ward-Prowse,77
Argentina,L. Ocampos,77
Belgium,L. Trossard,77
Austria,V. Lazaro,77
Italy,M. Benassi,77
Portugal,José Sá,77
Sweden,L. Augustinsson,77
Netherlands,J. Hendrix,77
Chile,N. Castillo,77
Belgium,D. Origi,77
Chile,E. Pulgar,77
Russia,A. Miranchuk,77
Argentina,J. Correa,77
France,J. Amavi,77
Austria,A. Schöpf,77
Spain,Joan Jordán,77
Serbia,N. Radoja,77
Uruguay,G. Pereiro,77
England,L. Dunk,77
Netherlands,T. Vilhena,77
Germany,D. Heintz,77
