team,player,overall
Argentina,A. Di María,85
Spain,Jordi Alba,85
Poland,K. Glik,85
Croatia,D. Subašić,85
Armenia,H. Mkhitaryan,85
Costa Rica,K. Navas,85
Spain,Marco Asensio,84
Portugal,Bernardo Silva,84
Germany,T. Horn,84
England,D. Alli,84
Argentina,M. Icardi,84
France,A. Laporte,84
Ivory Coast,E. Bailly,84
Spain,Koke,84
Spain,Morata,84
Senegal,K. Koulibaly,84
Germany,J. Draxler,84
Spain,Carvajal,84
Senegal,S. Mané,84
Switzerland,R. Bürki,84
Germany,S. Mustafi,84
Greece,K. Manolas,84
Spain,Sergio Asenjo,84
Germany,R. Fährmann,84
Netherlands,K. Strootman,84
Spain,Aduriz,84
Argentina,A. Gómez,84
Brazil,Dani Alves,84
England,G. Cahill,84
France,L. Koscielny,84
Colombia,Falcao,84
France,D. Payet,84
Morocco,M. Benatia,84
Spain,Juan Mata,84
Germany,S. Khedira,84
Brazil,Willian,84
Bosnia and Herzegovina,E. Džeko,84
Croatia,I. Perišić,84
Spain,Bruno,84
Spain,Pedro,84
Spain,Ander Herrera,84
France,K. Mbappé,83
France,O. Dembélé,83
France,T. Lemar,83
Italy,A. Belotti,83
Brazil,Marquinhos,83
Brazil,Ederson,83
Germany,N. Süle,83
Argentina,G. Rulli,83
Italy,M. Perin,83
Netherlands,S. de Vrij,83
France,S. Umtiti,83
Brazil,Fabinho,83
Portugal,João Mário,83
Guinea,N. Keïta,83
Brazil,Roberto Firmino,83
Uruguay,J. Giménez,83
Argentina,M. Musacchio,83
Brazil,Oscar,83
Portugal,A. Lopes,83
Portugal,Danilo Pereira,83
Netherlands,V. van Dijk,83
Portugal,William Carvalho,83
Egypt,M. Salah,83
France,M. Schneiderlin,83
Cameroon,J. Matip,83
Sweden,E. Forsberg,83
Denmark,K. Schmeichel,83
Switzerland,Y. Sommer,83
Turkey,O. Toprak,83
England,K. Walker,83
Senegal,I. Gueye,83
Algeria,R. Mahrez,83
Spain,Casillas,83
Ivory Coast,Y. Touré,83
Portugal,Quaresma,83
Spain,José Reina,83
Italy,D. De Rossi,83
Portugal,Nani,83
Netherlands,W. Sneijder,83
Argentina,J. Mascherano,83
Spain,Santi Cazorla,83
Spain,Diego López,83
Spain,Juanfran,83
Argentina,L. Biglia,83
France,L. Perrin,83
Spain,Borja Valero,83
Belgium,M. Dembélé,83
Ecuador,A. Valencia,83
Argentina,E. Garay,83
Poland,L. Piszczek,83
France,K. Gameiro,83
Brazil,Jonas,83
Portugal,Rui Patrício,83
Argentina,E. Banega,83
Germany,B. Höwedes,83
England,A. Lallana,83
Croatia,M. Mandžukić,83
Argentina,N. Gaitán,83
Italy,S. Giovinco,83
Portugal,Adrien Silva,83
Spain,José Callejón,83
France,S. N'Zonzi,83
Netherlands,B. Dost,83
Italy,G. Bonaventura,83
Japan,S. Kagawa,83
Argentina,J. Pastore,83
Serbia,N. Matić,83
Argentina,N. Otamendi,83
Spain,Iago Aspas,83
Spain,Vitolo,83
Italy,G. Donnarumma,82
Germany,L. Sané,82
Spain,Saúl,82
France,A. Martial,82
Senegal,K. Baldé Diao,82
Spain,Deulofeu,82
France,C. Tolisso,82
Croatia,M. Kovačić,82
Germany,L. Goretzka,82
Portugal,André Gomes,82
Italy,F. Bernardeschi,82
Germany,J. Tah,82
France,T. Bakayoko,82
England,E. Dier,82
Spain,Suso,82
England,R. Sterling,82
Spain,Sergio Rico,82
Germany,T. Werner,82
Brazil,Willian José,82
Spain,Iñigo Martínez,82
Montenegro,S. Savić,82
Germany,A. Rüdiger,82
Netherlands,G. Wijnaldum,82
Kenya,V. Wanyama,82
Switzerland,X. Shaqiri,82
Switzerland,G. Xhaka,82
South Korea,H. Son,82
Brazil,Lucas,82
Netherlands,D. Klaassen,82
France,F. Thauvin,82
Spain,Manu Trigueros,82
Netherlands,Q. Promes,82
France,N. Fekir,82
England,J. Henderson,82
Poland,W. Szczęsny,82
Germany,K. Trapp,82
England,N. Clyne,82
Germany,O. Baumann,82
Italy,A. Florenzi,82
England,D. Rose,82
Germany,L. Bender,82
Wales,A. Ramsey,82
Italy,C. Immobile,82
Spain,Víctor Ruíz,82
Argentina,M. Rojo,82
Spain,Lucas Vázquez,82
Ivory Coast,J. Seri,82
Norway,R. Jarstein,82
Switzerland,S. Lichtsteiner,82
Spain,David Villa,82
Brazil,Fernandinho,82
Turkey,A. Turan,82
Brazil,Raffael,82
Germany,M. Gómez,82
England,J. Hart,82
Spain,Raúl Albiol,82
France,B. Costil,82
Portugal,João Moutinho,82
Italy,A. Consigli,82
England,L. Baines,82
France,S. Mandanda,82
Wales,A. Williams,82
France,S. Nasri,82
Germany,G. Castro,82
Italy,E. Viviano,82
Mexico,C. Vela,82
England,D. Sturridge,82
Brazil,Naldo,82
Bosnia and Herzegovina,A. Begović,82
Chile,C. Bravo,82
Belgium,A. Witsel,82
Spain,Beñat,82
Mexico,J. Hernández,82
Serbia,B. Ivanović,82
France,O. Giroud,82
Argentina,F. Fazio,82
Croatia,V. Ćorluka,82
Uruguay,F. Muslera,82
Serbia,L. Fejsa,82
Greece,O. Karnezis,82
Germany,M. Kruse,82
Austria,M. Arnautović,82
Algeria,Y. Brahimi,82
Iceland,G. Sigurðsson,82
Italy,M. Balotelli,82
Germany,L. Stindl,82
Brazil,Marlos,82
Brazil,Taison,82
Spain,Parejo,82
Spain,Iborra,82
Brazil,Douglas Costa,82
Colombia,J. Cuadrado,82
Chile,G. Medel,82
Portugal,Pizzi,82
Spain,Jonathan Viera,82
Italy,F. Acerbi,82
Germany,K. Bellarabi,82
Spain,Roque Mesa,82
Italy,F. Vázquez,82
Colombia,C. Bacca,82
Brazil,Felipe,82
Algeria,I. Slimani,82
Brazil,Gabriel Jesus,81
Denmark,A. Christensen,81
Spain,Héctor Bellerín,81
Colombia,D. Sánchez,81
Portugal,Gelson Martins,81
Argentina,M. Lanzini,81
England,J. Butland,81
England,M. Keane,81
France,M. Sanson,81
Italy,D. Berardi,81
Germany,J. Kimmich,81
Spain,Williams,81
Germany,J. Weigl,81
Portugal,Nélson Semedo,81
England,R. Barkley,81
Spain,Sergi Roberto,81
Brazil,Rafinha,81
Brazil,Felipe Anderson,81
Portugal,R. Guerreiro,81
France,A. Rabiot,81
Portugal,Bruma,81
Germany,M. Götze,81
Mexico,J. Corona,81
Ivory Coast,S. Aurier,81
Morocco,H. Ziyech,81
Croatia,M. Brozović,81
Spain,Camacho,81
England,J. Wilshere,81
Spain,Mario Gaspar,81
Switzerland,R. Rodríguez,81
Ivory Coast,W. Zaha,81
DR Congo,C. Bakambu,81
Belgium,T. Meunier,81
Italy,Jorginho,81
Belgium,C. Benteke,81
Finland,L. Hrádecký,81
Spain,Marcos Alonso,81
Russia,Mário Fernandes,81
Croatia,D. Lovren,81
Slovenia,K. Kampl,81
Poland,G. Krychowiak,81
Uruguay,S. Coates,81
Spain,Bartra,81
Netherlands,J. Cillessen,81
Spain,Nacho Fernández,81
Croatia,A. Kramarić,81
Denmark,S. Kjær,81
Montenegro,S. Jovetić,81
France,M. Sakho,81
Brazil,Giuliano,81
Algeria,R. Boudebouz,81
Germany,S. Rudy,81
England,C. Smalling,81
France,W. Ben Yedder,81
Italy,S. Zaza,81
Spain,Dani García,81
Cameroon,S. Eto'o,81
Spain,Fernando Torres,81
Italy,T. Motta,81
Germany,P. Mertesacker,81
England,W. Rooney,81
Spain,Moyá,81
France,C. Carrasso,81
Germany,B. Schweinsteiger,81
Nigeria,V. Enyeama,81
Croatia,D. Srna,81
Argentina,G. Rodríguez,81
Spain,Gabi,81
France,A. Gignac,81
Brazil,Dante,81
France,H. Ben Arfa,81
England,T. Heaton,81
Slovakia,M. Škrtel,81
Spain,Raúl García,81
Belgium,K. Mirallas,81
Italy,D. Astori,81
Belgium,S. Mignolet,81
France,M. Valbuena,81
Spain,Adán,81
Republic of Ireland,S. Coleman,81
France,A. Rami,81
Greece,K. Mitroglou,81
Italy,M. Parolo,81
Argentina,D. Perotti,81
Croatia,N. Kalinić,81
Brazil,Paulinho,81
Spain,Iturraspe,81
Spain,De Marcos,81
Spain,Illarramendi,81
Morocco,Y. Belhanda,81
Ukraine,A. Yarmolenko,81
Spain,Lucas Pérez,81
England,J. Vardy,81
Belgium,Y. Tielemans,80
England,M. Rashford,80
Italy,D. Rugani,80
Germany,J. Brandt,80
Spain,Denis Suárez,80
Spain,Arrizabalaga,80
Spain,Grimaldo,80
Poland,P. Zieliński,80
Brazil,Malcom,80
Portugal,Ricardo Pereira,80
Brazil,Jemerson,80
Serbia,S. Milinković-Savić,80
Turkey,O. Özyakup,80
England,A. Oxlade-Chamberlain,80
France,L. Kurzawa,80
United States,J. Brooks,80
Belgium,M. Batshuayi,80
Germany,E. Can,80
Brazil,Fred,80
Spain,Samu Castillejo,80
Algeria,N. Bentaleb,80
Belgium,T. Hazard,80
Germany,L. Karius,80
Serbia,M. Nastasić,80
Germany,K. Demirbay,80
Brazil,Alex Telles,80
Brazil,Alisson,80
Argentina,E. Lamela,80
Republic of Ireland,J. McCarthy,80
Italy,S. El Shaarawy,80
Argentina,R. Pereyra,80
Spain,Hugo Mallo,80
Spain,Pablo Sarabia,80
Colombia,L. Muriel,80
Germany,K. Volland,80
Brazil,Leo Baptistao,80
Bosnia and Herzegovina,S. Kolašinac,80
Brazil,Sidnei,80
Germany,K. Vogt,80
Ukraine,Y. Rakitskyi,80
France,J. Guilavogui,80
Brazil,Allan,80
Mexico,J. dos Santos,80
Germany,S. Bender,80
Italy,M. Darmian,80
England,D. Welbeck,80
Russia,F. Smolov,80
Brazil,Ganso,80
Russia,A. Dzagoev,80
Portugal,Daniel Carriço,80
England,M. Antonio,80
Netherlands,D. Blind,80
Germany,A. Schürrle,80
Italy,R. Soriano,80
Germany,D. Didavi,80
Spain,Sergi Enrich,80
Ukraine,T. Stepanenko,80
Germany,J. Hector,80
England,M. Carrick,80
Brazil,Júlio César,80
England,J. Defoe,80
France,P. Evra,80
England,P. Jagielka,80
Cameroon,C. Kameni,80
France,J. Mathieu,80
Turkey,M. Topal,80
Canada,A. Hutchinson,80
Brazil,Gomes,80
England,J. Milner,80
Brazil,Kaká,80
Italy,F. Marchetti,80
Italy,A. Mirante,80
Argentina,F. Belluschi,80
Spain,Javi Fuego,80
Germany,L. Podolski,80
Sweden,A. Granqvist,80
Portugal,Manuel Fernandes,80
Ivory Coast,S. Kalou,80
Morocco,K. El Ahmadi,80
Bosnia and Herzegovina,V. Ibišević,80
England,B. Foster,80
Poland,L. Fabiański,80
England,T. Walcott,80
Italy,G. Paletta,80
Argentina,G. Cabral,80
Serbia,D. Basta,80
Uzbekistan,V. Denisov,80
Brazil,Jardel,80
Brazil,Renato Augusto,80
England,R. Bertrand,80
Mexico,A. Guardado,80
Spain,Coke,80
Denmark,D. Wass,80
Italy,D. Criscito,80
Italy,A. Candreva,80
Argentina,S. Romero,80
Mexico,H. Moreno,80
Spain,Marcano,80
Ghana,K. Boateng,80
Spain,Pedro León,80
Slovenia,V. Birsa,80
Argentina,I. Piatti,80
Sweden,M. Berg,80
Argentina,A. Fernández,80
Chile,M. Díaz,80
Germany,S. Tasci,80
Spain,Nacho Monreal,80
Spain,Kiko Casilla,80
Italy,Eder,80
Netherlands,J. Lens,80
Guinea,I. Traoré,80
France,R. Thomas,80
Spain,Mikel San José,80
Brazil,Luiz Gustavo,80
Russia,I. Smolnikov,80
Germany,M. Schmelzer,80
Venezuela,S. Rondón,80
Spain,Iago Falqué,80
Argentina,E. Salvio,80
Brazil,Maicon,80
Chile,F. Orellana,80
France,M. Gonalons,80
Brazil,Neto,80
Serbia,D. Tadić,80
Chile,P. Hernández,80
Slovenia,J. Iličić,80
France,V. Germain,80
Brazil,Eric Botteghin,80
Russia,O. Shatov,80
Germany,S. Gnabry,79
Italy,A. Romagnoli,79
Spain,Diego Llorente,79
France,W. Cyprien,79
Argentina,A. Correa,79
Germany,M. Dahoud,79
France,A. Areola,79
France,K. Zouma,79
Poland,A. Milik,79
France,A. Pléa,79
Argentina,L. Vietto,79
Portugal,João Cancelo,79
Italy,M. Benassi,79
Germany,M. Meyer,79
Belgium,L. Dendoncker,79
France,K. Coman,79
Sweden,V. Lindelöf,79
Spain,Oyarzabal,79
Spain,Paco Alcácer,79
England,J. Stones,79
Spain,Óliver Torres,79
Argentina,E. Rigoni,79
France,Y. Cardinale,79
France,L. Digne,79
France,D. Sidibé,79
Netherlands,M. Depay,79
Brazil,Fernando,79
Denmark,J. Vestergaard,79
Italy,D. Baselli,79
Brazil,Bernard,79
England,L. Shaw,79
Germany,M. Arnold,79
Argentina,N. Tagliafico,79
Morocco,S. Boufal,79
Spain,Gayà,79
Brazil,Anderson Talisca,79
France,C. Lenglet,79
Romania,F. Andone,79
Netherlands,J. Bruma,79
France,F. Lejeune,79
Italy,M. Gabbiadini,79
Colombia,J. Murillo,79
Croatia,S. Vrsaljko,79
Spain,Rubén Pardo,79
Spain,Bernat,79
Spain,Gerard Moreno,79
Turkey,H. Çalhanoğlu,79
Albania,E. Hysaj,79
Serbia,N. Maksimović,79
Paraguay,M. Almirón,79
Greece,K. Papadopoulos,79
Spain,Canales,79
Serbia,A. Ljajić,79
Netherlands,J. Zoet,79
Spain,Keko,79
Netherlands,B. Martins Indi,79
Turkey,E. Çolak,79
Italy,R. Saponara,79
Portugal,Cédric,79
Algeria,F. Ghoulam,79
France,P. Ntep,79
Italy,N. Sansone,79
Germany,C. Kramer,79
Germany,W. Orban,79
Russia,S. Kritsyuk,79
Argentina,I. Marcone,79
Italy,D. Zappacosta,79
Argentina,M. Acuña,79
Uruguay,M. Campaña,79
Nigeria,V. Moses,79
Russia,A. Kokorin,79
Turkey,Y. Mallı,79
Spain,Oriol Romeu,79
Denmark,N. Jørgensen,79
Italy,L. Tonelli,79
Brazil,Gabriel Paulista,79
Senegal,S. Sané,79
Cape Verde,Zé Luís,79
Brazil,Soares,79
Mexico,H. Herrera,79
New Zealand,W. Reid,79
Spain,Bojan,79
Spain,Fabricio,79
England,D. Drinkwater,79
Germany,R. Zieler,79
Turkey,V. Babacan,79
Argentina,G. Bou,79
France,F. Coquelin,79
France,S. Corchia,79
England,P. Jones,79
Germany,P. Herrmann,79
Czech Republic,V. Darida,79
Argentina,L. López,79
England,G. Barry,79
Italy,A. Pirlo,79
Czech Republic,T. Rosický,79
Italy,S. Sorrentino,79
Germany,R. Adler,79
Germany,D. Baier,79
Netherlands,M. Vorm,79
Brazil,Vágner Love,79
Argentina,W. Caballero,79
Mexico,G. Ochoa,79
Argentina,P. Zabaleta,79
Ukraine,A. Pyatov,79
Spain,Negredo,79
Spain,Xabi Prieto,79
Russia,A. Samedov,79
Russia,I. Denisov,79
Russia,I. Akinfeev,79
Russia,V. Berezutskiy,79
Brazil,Luisão,79
France,B. Gomis,79
Spain,Jurado,79
Denmark,M. Krohn-Dehli,79
Argentina,D. Abraham,79
Romania,S. Radu,79
Argentina,N. Pareja,79
Brazil,Danilo,79
France,Y. Cabaye,79
Ghana,A. Gyan,79
Italy,S. Sirigu,79
Northern Ireland,J. Evans,79
England,R. Shawcross,79
Mexico,G. dos Santos,79
Ivory Coast,Gervinho,79
Turkey,N. Şahin,79
Portugal,José Fonte,79
Argentina,D. Valeri,79
France,D. Zurutuza,79
Argentina,C. Ansaldi,79
Austria,Z. Junuzović,79
Brazil,Lucas Leiva,79
Colombia,D. Ospina,79
Ghana,A. Ayew,79
Sweden,P. Wernbloom,79
Belgium,M. Fellaini,79
United States,F. Johnson,79
Austria,S. Prödl,79
Portugal,Antunes,79
Brazil,Marcelo,79
France,W. Vainqueur,79
Morocco,N. Amrabat,79
Spain,Roberto,79
Italy,A. Ogbonna,79
Argentina,C. Yacob,79
Argentina,P. Piatti,79
Germany,S. Wagner,79
Algeria,S. Feghouli,79
Brazil,Mariano,79
Serbia,A. Kolarov,79
Mexico,M. Fabián,79
Brazil,Maurício,79
Ecuador,C. Noboa,79
Ivory Coast,S. Doumbia,79
Brazil,Jonathas,79
Germany,B. Hübner,79
Ivory Coast,W. Bony,79
Spain,Balenziaga,79
Switzerland,M. Hitz,79
Slovakia,J. Kucka,79
Spain,Escudero,79
Spain,Jaume Costa,79
Paraguay,H. Pérez,79
Spain,Adrián,79
Spain,Nolito,79
Spain,Vicente Gómez,79
Ukraine,Y. Konoplyanka,79
Argentina,F. Fernández,79
Bosnia and Herzegovina,E. Višća,79
United States,C. Pulisic,78
Spain,Dani Ceballos,78
Denmark,K. Dolberg,78
France,L. Tousart,78
France,B. Mendy,78
England,J. Ward-Prowse,78
Paraguay,A. Sanabria,78
Portugal,André Silva,78
France,M. Niang,78
Germany,M. Weiser,78
Italy,R. Gagliardini,78
Portugal,Bruno Fernandes,78
Portugal,Iuri Medeiros,78
Germany,N. Stark,78
Belgium,D. Origi,78
Portugal,Rúben Semedo,78
Mexico,H. Lozano,78
Argentina,F. Cervi,78
France,V. Koziello,78
Cameroon,A. Onana,78
Spain,Sergi Darder,78
Norway,M. Elyounoussi,78
Netherlands,T. Vilhena,78
Burkina Faso,B. Traoré,78
France,A. Doucouré,78
Argentina,A. Ruiz,78
Belgium,T. Bongonda,78
Netherlands,R. Karsdorp,78
Spain,Jorge Meré,78
France,V. Rongier,78
Spain,Yeray,78
Spain,Muniain,78
Argentina,G. Pezzella,78
Spain,Borja Bastón,78
France,B. Lecomte,78
Algeria,A. Mandi,78
Serbia,F. Kostić,78
Austria,K. Wimmer,78
Spain,Carles Gil,78
Spain,Capa,78
Portugal,Rafa,78
Spain,Pau López,78
Serbia,N. Radoja,78
France,T. Kolodziejczak,78
Cameroon,V. Aboubakar,78
Sweden,J. Guidetti,78
Netherlands,M. van Ginkel,78
Germany,L. Bittencourt,78
Czech Republic,P. Kadeřábek,78
Greece,K. Fortounis,78
Austria,M. Sabitzer,78
Wales,B. Davies,78
Germany,D. Heintz,78
Germany,M. Ginter,78
Portugal,Paulo Oliveira,78
Uruguay,D. Laxalt,78
Italy,M. Sportiello,78
England,K. Trippier,78
France,Y. M'Vila,78
France,E. Mangala,78
Belgium,K. Casteels,78
Denmark,T. Delaney,78
Argentina,R. Funes Mori,78
Spain,Rodrigo,78
Brazil,Danilo,78
Uruguay,G. Ramírez,78
Germany,D. Demme,78
Spain,Pozuelo,78
Spain,Bigas,78
Colombia,D. Zapata,78
Uruguay,M. Vecino,78
Spain,Rochina,78
Senegal,A. N'Diaye,78
Turkey,G. Töre,78
Spain,Fontàs,78
Germany,M. Plattenhardt,78
Turkey,C. Tosun,78
Italy,S. Verdi,78
Senegal,K. Mbodj,78
Germany,S. Rode,78
Poland,L. Teodorczyk,78
France,V. Eysseric,78
France,B. Reynet,78
Argentina,E. Sala,78
Mexico,R. Jiménez,78
England,J. Lingard,78
Argentina,G. Pizarro,78
Brazil,Tiago Volpi,78
Colombia,J. Izquierdo,78
Argentina,R. Battaglia,78
Russia,A. Lunev,78
England,J. Cork,78
Morocco,O. El Kaddouri,78
Cameroon,N. Nkoulou,78
Albania,E. Berisha,78
Brazil,Souza,78
England,B. Mee,78
Tunisia,W. Khazri,78
England,A. Townsend,78
Spain,Raúl Navas,78
Argentina,A. Marchesín,78
Russia,D. Cheryshev,78
Portugal,Hernâni,78
Argentina,D. Benedetto,78
Brazil,Raúl,78
Spain,Jony,78
Portugal,Eliseu,78
Netherlands,R. van Persie,78
Spain,César Navas,78
England,J. Terry,78
United States,T. Howard,78
Spain,Joaquín,78
Togo,E. Adebayor,78
France,J. Toulalan,78
Russia,S. Ignashevich,78
Italy,M. Borriello,78
Turkey,B. Yılmaz,78
France,J. Briand,78
Spain,Sergio García,78
Germany,R. Huth,78
Portugal,Bruno Alves,78
Switzerland,B. Džemaili,78
Estonia,R. Klavan,78
Argentina,L. López,78
Argentina,M. Barovero,78
Argentina,J. Sosa,78
Turkey,G. Gönül,78
Sweden,O. Wendt,78
Spain,Jesús Navas,78
Spain,Soldado,78
Russia,S. Ryzhikov,78
Argentina,J. Sand,78
Norway,P. Skjelbred,78
Argentina,R. Palacio,78
Brazil,Hilton,78
France,Y. Gourcuff,78
United States,M. Bradley,78
United States,C. Dempsey,78
Belgium,T. Vermaelen,78
Chile,J. Valdivia,78
England,S. Dann,78
Peru,J. Farfán,78
Netherlands,I. Afellay,78
Germany,C. Gentner,78
Italy,F. Quagliarella,78
Italy,R. Montolivo,78
Spain,Javi García,78
Spain,Llorente,78
Belgium,G. Gillet,78
Belgium,N. Lombaerts,78
Brazil,Adriano,78
Argentina,F. Gago,78
Argentina,M. Ruben,78
Italy,I. Abate,78
Italy,S. Bocchetti,78
Brazil,Rafinha,78
Netherlands,K. Vermeer,78
Belgium,S. Defour,78
Netherlands,E. Elia,78
Chile,M. Fernández,78
Belgium,V. Odjidja-Ofoe,78
Colombia,A. Ramos,78
Argentina,N. Guzmán,78
Colombia,C. Zapata,78
Portugal,Miguel Veloso,78
France,P. Baysse,78
Spain,Granero,78
France,T. Mangani,78
Mexico,M. Layún,78
Spain,Mosquera,78
South Korea,Ki Sung Yueng,78
Russia,Guilherme,78
Brazil,Luiz Adriano,78
Czech Republic,M. Suchý,78
Greece,J. Holebas,78
England,A. Carroll,78
Uruguay,M. Pereira,78
Hungary,B. Dzsudzsák,78
England,T. Deeney,78
Paraguay,R. Bobadilla,78
Germany,F. Bartels,78
Germany,S. Langkamp,78
Germany,N. Müller,78
Brazil,Fernando,78
England,K. Gibbs,78
Japan,K. Honda,78
Ecuador,J. Montero,78
Ghana,K. Asamoah,78
Russia,D. Glushakov,78
Russia,A. Dzyuba,78
Russia,P. Mamaev,78
Spain,Juanfran,78
Argentina,L. Acosta,78
Bosnia and Herzegovina,S. Lulić,78
Portugal,Miguel Lopes,78
DR Congo,Y. Bolasie,78
Spain,Susaeta,78
Spain,Victor Sánchez,78
Austria,J. Baumgartlinger,78
Brazil,Rafael,78
Spain,Etxeita,78
Costa Rica,C. Borges,78
Germany,H. Badstuber,78
France,R. Hamouma,78
Italy,E. Giaccherini,78
Austria,G. Burgstaller,78
England,C. Austin,78
Colombia,T. Gutiérrez,78
Argentina,E. Pérez,78
Italy,D. Caligiuri,78
Uruguay,N. Lodeiro,78
Germany,M. Höger,78
Chile,C. Aránguiz,78
Portugal,André André,78
Belgium,N. Chadli,78
Portugal,Marafona,78
Brazil,Ismaily,78
Croatia,M. Badelj,78
Spain,David López,78
Brazil,Joãozinho,78
Japan,T. Inui,78
Argentina,L. Castro,78
Greece,A. Samaris,78
Brazil,Bruno Peres,78
Argentina,A. Szymanowski,78
Portugal,Pedro Santos,78
Spain,Morales,78
Syria,O. Al Soma,78
France,A. Lafont,77
France,L. Hernández,77
Guinea,A. Diawara,77
Czech Republic,P. Schick,77
Brazil,Andreas Pereira,77
Serbia,A. Živković,77
Portugal,Rúben Neves,77
Portugal,Diogo Jota,77
France,P. Kimpembe,77
Spain,Marcos Llorente,77
Spain,Pablo Fornals,77
Nigeria,O. Ndidi,77
England,N. Redmond,77
England,J. Pickford,77
Iran,S. Azmoun,77
Argentina,M. Kranevitter,77
Croatia,A. Halilović,77
Brazil,Wallace,77
Spain,Sandro,77
Argentina,S. Driussi,77
Spain,Vallejo,77
Germany,N. Amiri,77
Italy,L. Pellegrini,77
Spain,Sergi Gómez,77
Argentina,L. Paredes,77
Brazil,Vitinho,77
Belgium,A. Januzaj,77
Ghana,A. Baba,77
Portugal,Rony Lopes,77
Russia,R. Zobnin,77
Argentina,G. Escalante,77
Spain,Aritz Elustondo,77
Brazil,Dalbert,77
Spain,Juanmi,77
Spain,Jordi Amat,77
France,J. Veretout,77
England,H. Maguire,77
Greece,S. Kapino,77
Belgium,J. Lukaku,77
Ghana,T. Partey,77
Brazil,Otávio,77
Spain,Jonny,77
Gabon,M. Lemina,77
Netherlands,K. Tete,77
Netherlands,W. Hoedt,77
France,G. Nkoudou,77
Portugal,Bruno Varela,77
Uruguay,M. Lemos,77
England,J. Shelvey,77
Mexico,D. Reyes,77
France,G. Imbula,77
Spain,Luis Alberto,77
Spain,Campaña,77
Spain,Pedro Obiang,77
Austria,M. Hinteregger,77
Italy,S. Sturaro,77
Netherlands,T. Kongolo,77
France,S. Haller,77
Colombia,J. Córdoba,77
Colombia,J. Quintero,77
Switzerland,S. Widmer,77
Italy,M. Politano,77
Germany,M. Philipp,77
Angola,Bastos,77
Brazil,Pedro Henrique,77
Austria,A. Schöpf,77
Portugal,Bruno Gaspar,77
Netherlands,V. Janssen,77
Norway,J. King,77
England,S. Cook,77
Spain,Sergio Álvarez,77
Argentina,R. Funes Mori,77
Denmark,F. Sørensen,77
France,G. Kondogbia,77
Spain,Recio,77
Spain,Jesé,77
Germany,A. Younes,77
Netherlands,J. Willems,77
Serbia,L. Milivojević,77
Spain,Pacheco,77
Portugal,Ricardo Ferreira,77
Egypt,M. Elneny,77
Brazil,Wendell,77
Senegal,H. Saivet,77
Brazil,Rafael Tolói,77
Austria,A. Dragović,77
Italy,A. Bertolacci,77
Netherlands,D. Pröpper,77
Denmark,M. Braithwaite,77
Turkey,A. Potuk,77
England,A. Gray,77
Spain,Montoya,77
Australia,A. Mooy,77
Scotland,T. Cairney,77
France,B. Stambouli,77
Germany,S. Bell,77
Guinea,F. Pogba,77
Australia,M. Ryan,77
Netherlands,J. Clasie,77
Spain,Bruno,77
Germany,M. Uth,77
France,N. De Préville,77
Czech Republic,L. Krejčí,77
Germany,J. Geis,77
Colombia,S. Arias,77
Costa Rica,J. Campbell,77
