team,player,overall
Germany,M. Klose,79
Scotland,M. Gilks,64
England,A. Stansfield,57
Italy,C. Lupatelli,68
Mali,S. Keita,76
England,O. Hargreaves   B,78
Norway,J. Riise,72
Germany,A. Friedrich,74
Spain,Puyol,83
Ukraine,A. Shevchenko,77
England,W. Brown,66
England,J. Terry,76
England,A. Smith,61
England,S. Gerrard,81
China,Sun Jihai,64
England,P. Robinson,69
Czech Republic,J. Koller,78
Colombia,J. Ángel,68
Netherlands,D. Kuyt,75
United States,T. Howard,71
Belgium,D. Van Buyten,78
United States,T. Sanneh,62
France,N. Penneteau,73
Wales,J. Collins,72
England,J. Ibehre,58
Spain,Valerón,74
England,G. Holt,67
Portugal,Hélder Postiga,74
Portugal,Ricardo Costa,73
Ivory Coast,Y. Touré,80
Brazil,Alan,74
Portugal,Quaresma,79
Portugal,Danny,76
Portugal,Cristiano Ronaldo,92
Switzerland,A. Frei,77
England,M. Carrick,79
Brazil,Rogério Ceni,75
Republic of Ireland,R. Cretaro,56
Italy,L. Toni,76
Argentina,J. Riquelme,79
Canada,J. De Guzmán,64
Brazil,M. Bordon,82
Argentina,W. Samuel,74
England,R. Taylor,67
Brazil,Dédé,75
Chile,D. Pizarro,73
Colombia,M. Yepes,74
Sweden,O. Mellberg,74
Peru,C. Pizarro,74
Paraguay,R. Santa Cruz,73
Spain,Capdevila,69
Mexico,R. Márquez,73
France,S. Distin,77
Brazil,Ronaldinho,78
Poland,J. Krzynówek,72
Brazil,Zé Roberto,74
Japan,S. Ono,54
Ivory Coast,B. Kouassi,62
Japan,S. Nakamura,65
Bulgaria,D. Berbatov,80
Ghana,H. Sarpei,68
Ivory Coast,D. Drogba,81
Sweden,K. Källström,77
England,A. Cole,70
Australia,A. Thompson,63
Italy,A. Floro Flores,72
Nigeria,J. Yobo,74
United States,K. Beckerman,68
Brazil,Ronaldo,77
United States,D. Beasley,68
South Korea,J. Park,78
Brazil,Edmilson,68
France,S. Govou,69
Senegal,S. Diawara,73
Nigeria,S. Ameobi,64
Sweden,Z. Ibrahimović,83
France,P. Mexès,77
France,B. Cheyrou,68
Senegal,M. Niang,67
Poland,J. Dudek,72
Scotland,J. McFadden,66
Spain,Mikel Arteta,78
Spain,Joaquín,80
Spain,Xabi Alonso,82
Belarus,A. Hleb,74
Sweden,M. Antonsson,66
Netherlands,R. van der Vaart,67
Italy,D. Bonera,75
Italy,M. Brighi,69
Germany,D. Bierofka,64
Spain,Raúl,81
Ghana,M. Essien,74
Egypt,M. Zidan,75
Sweden,J. Olsson,68
Sweden,M. Rosenberg,72
Congo,C. Samba,71
Italy,E. Moretti,75
Norway,B. Hangeland,72
Norway,M. Pedersen,68
Sweden,D. Mobaeck,60
Belgium,S. Proto,75
Brazil,Gilberto Silva,73
Brazil,Júlio César,80
Argentina,F. Coloccini,71
Czech Republic,P. Čech,81
Scotland,A. McGregor,74
Germany,K. Kurányi,74
Scotland,S. Maloney,73
Scotland,K. Boyd,70
Uruguay,D. Forlán,78
Belgium,O. Deschacht,70
Portugal,Hugo Viana,78
Spain,Fernando Torres,77
Italy,T. Motta,80
France,L. Butelle,73
Belgium,Igor de Camargo,70
Denmark,J. Poulsen,65
Switzerland,P. Senderos,67
South Africa,S. Pienaar,75
United States,K. Keller,69
England,J. Defoe,73
England,D. Bent,70
England,P. Clarke,63
England,L. King,82
England,S. Harper,69
France,J. Cavalli,67
United States,S. Cherundolo,73
England,P. Crouch,72
Wales,B. Myhill,70
Australia,T. Cahill,70
Netherlands,E. van der Sar,83
Norway,H. Opdal,65
France,A. Le Tallec,65
Mali,M. Diarra,75
France,P. Evra,75
France,F. Balmont,68
Germany,H. Westermann,71
Northern Ireland,C. Brunt,67
Switzerland,E. Jakupović,66
Switzerland,M. Marić,66
Turkey,R. Reçber,73
England,D. Murphy,69
Italy,C. Ledesma,71
Italy,C. Natali,74
Germany,B. Lauth,69
Germany,T. Wiese,68
Spain,Fernando Navarro,74
Togo,E. Adebayor,74
Italy,M. Ambrosini,74
Scotland,C. Gordon,71
Italy,F. Miccoli,81
Italy,D. De Rossi,82
England,D. Bulman,60
Brazil,Maxwell,79
England,A. Ferdid,63
England,C. Palmer,59
Netherlands,N. de Jong,74
England,G. O'Neil,67
Scotland,G. Greer,65
Germany,P. Mertesacker,80
Belgium,J. Van Damme,74
England,J. Bothroyd,65
Jamaica,J. McAnuff,60
Northern Ireland,L. Camp,67
England,L. Grant,70
Portugal,Deco,76
England,M. Bloomfield,64
England,P. Jagielka,72
England,S. Royce,48
Scotland,S. Caldwell,68
England,S. Downing,70
England,T. Huddlestone,71
Italy,T. Berni,64
England,W. Rooney,77
England,W. Routledge,69
Scotland,K. Commons,70
Mexico,N. Castillo,68
Portugal,Neca,73
Germany,M. Ratajczak,63
Poland,T. Kuszczak,69
England,R. Green,70
Italy,S. Padoin,70
Canada,K. Stamatopoulos,57
Italy,A. Aquilani,75
Italy,S. Pepe,74
Argentina,L. Cufré,69
Norway,R. Jarstein,77
Scotland,C. Burke,68
Norway,C. Grindheim,66
Germany,M. Gurski,59
Belgium,J. Gillet,67
Poland,P. Brożek,66
Poland,A. Boruc,73
Italy,C. Bovo,68
Brazil,Adriano,73
Spain,Aduriz,81
Spain,Victor Valdés,82
Austria,M. Langer,65
France,Y. Pelé,72
Turkey,H. Altıntop,74
Brazil,Lúcio,76
Switzerland,R. Ziegler,69
Switzerland,S. Lichtsteiner  B,72
Northern Ireland,G. McAuley,70
Spain,Cani,73
Spain,Pinto,72
Spain,Jonatan Soriano,71
Argentina,M. Rodríguez,74
Northern Ireland,A. Mannus,66
Spain,Cifuentes,73
Spain,Moyá,78
Spain,Xisco Campos,68
Spain,Borja Fernández,69
Turkey,Nihat,76
Spain,Riesgo,71
Spain,Mista,68
Spain,Reyes,71
United States,O. Onyewu,69
Germany,S. Riether,69
England,L. McCormick,60
England,L. FeeneyB,65
Cameroon,C. Kameni,73
France,F. Béria,73
Czech Republic,J. Plašil,71
France,J. Toulalan,78
France,J. Mathieu,81
Cameroon,A. Emaná,75
Brazil,Juninho,77
United States,J. Jones,73
Spain,David Villa,79
Argentina,A. Montenegro,67
Spain,Nino,70
Ukraine,A. Voronin,76
Switzerland,M. Wölfli,66
Spain,Iraizoz,75
Switzerland,D. Benaglio,74
Switzerland,M. Eggimann,66
Spain,Rubén Castro,71
Scotland,M. Fotheringham,59
Jamaica,R. Fuller,68
France,R. Fanni,70
England,D. Martin,66
France,C. Carrasso,79
England,I. Henderson,66
England,A. Lonergan,65
Ivory Coast,K. Touré,75
Italy,P. Gori,62
Italy,A. Di Natale,77
Cameroon,J. Makoun,69
England,M. Dawson,69
Portugal,Pepe,81
Germany,A. Walke,71
Germany,A. Meier,70
Germany,C. Schulz,68
Ukraine,A. Tymoshchuk,75
Germany,R. Adler,78
Germany,M. Rensing,70
Germany,P. Lahm,88
Germany,B. Schweinsteiger,75
Germany,R. König,63
Algeria,N. Belhadj,75
Scotland,S. Whittaker,63
Ivory Coast,A. Koné,71
Italy,M. Borriello,77
Argentina,H. Campagnaro,69
Ghana,S. Muntari,72
Turkey,B. Yılmaz,78
Turkey,M. Topal,74
Turkey,S. Sarıoğlu,69
Turkey,H. Kaldırım,75
Turkey,U. Bulut,68
Republic of Ireland,P. McShane,65
Denmark,L. Andreasen,74
Denmark,J. Hansen,75
Iceland,E. Hallfreðsson,70
Brazil,Marcos Assunção,72
Canada,A. Hutchinson,76
France,J. Briand,75
Ivory Coast,E. Eboué,75
Scotland,S. Brown,75
Morocco,M. Chamakh,71
England,S. Sidwell,71
Albania,L. Cana,76
Denmark,A. Lindegaard,67
Brazil,Junior Cesar,71
Brazil,Jefferson,80
Brazil,Maicon,77
Brazil,Alex,80
Brazil,Artur Moraes,70
Brazil,Felipe Melo,78
Brazil,Cris,70
Brazil,Dagoberto,77
Brazil,Fernandinho,84
Brazil,Nilmar,83
Spain,Pablo Ibáñez,70
Uruguay,P. García,73
Spain,Sergio García,77
Mexico,C. Blanco,71
Spain,Alexis,69
England,S. Francis,74
Turkey,H. Şükür,77
Jamaica,W. Morgan,73
Brazil,Alex,79
Brazil,Elano,74
Brazil,Diego,79
Brazil,Robinho,77
Brazil,Luís Fabiano,77
South Korea,Lee Dong Gook,69
South Korea,Kim Young Kwang,68
Italy,M. Amelia,67
England,P. Jones,61
Italy,A. Barzagli,83
Germany,S. Kießling,75
Germany,D. Baier,77
Italy,G. Pazzini,69
Italy,M. Gobbi,71
Italy,M. Cassani,68
Nigeria,O. Martins,75
North Macedonia,G. Pandev,72
Greece,G. Samaras,69
Nigeria,P. Odemwingie,69
Netherlands,M. Vorm,74
Netherlands,J. Verhoeven,65
England,G. Johnson,73
Germany,R. Huth,74
Brazil,Vágner Love,76
Brazil,Pedrinho,72
France,J. Lotiès,66
Belgium,D. Verhulst,69
Portugal,Bruno Alves,72
Argentina,E. Cambiasso,77
England,J. Barton,75
Canada,P. Onstad,67
England,J. Milner,80
Republic of Ireland,J. Walters,71
Brazil,Kaká,80
Brazil,Diego Tardelli,76
Czech Republic,R. Hubník,72
Netherlands,R. Brouwers,72
Senegal,G. N'Daw,66
Argentina,A. D'Alessandro,79
England,B. Jones,65
England,J. Lescott,70
Scotland,D. Fletcher,69
Argentina,G. Lux,72
Argentina,M. López,68
England,D. Lewington,65
Italy,D. Moscardelli,69
Paraguay,A. Alcáraz,72
Italy,G. Chiellini,87
Portugal,Hugo Almeida,72
Uruguay,S. Abreu,68
Mexico,O. Sánchez,71
Mexico,J. Beltrán,68
Argentina,C. Rodríguez,68
Argentina,W. Caballero,75
Argentina,L. Ponzio,73
Portugal,Nani,80
Mexico,C. Salcido,68
Switzerland,D. Lopar,67
Slovenia,B. Cesar,70
England,D. Nugent,66
Austria,C. Fuchs,73
England,J. Stead,58
Republic of Ireland,K. Foley,63
England,J. Shackell,66
Scotland,A. Hutton,69
Scotland,C. Conway,64
Italy,F. Marchetti,71
Belgium,V. Kompany,82
Sweden,C. Wilhelmsson,67
Uruguay,S. Silva,72
Brazil,Michel Bastos,78
Madagascar,J. Morel,75
Netherlands,G. Loovens,66
Netherlands,W. Sneijder,83
Croatia,D. Srna,78
Mexico,J. Rodríguez,67
Paraguay,J. Cáceres,71
Brazil,Rafael,73
Mexico,J. Cacho,62
Japan,H. Sogahata,65
Japan,Y. Endo,68
Japan,D. Matsui,61
Paraguay,P. Da Silva,67
Mexico,G. Ochoa,79
Mexico,F. Fonseca,65
Paraguay,D. Verón,73
Mexico,A. Palacios,74
Italy,A. Mirante,78
Brazil,Jô,74
Kosovo,A. Gashi,61
England,A. Baptiste,63
Scotland,R. Wallace,67
Scotland,D. Marshall,72
Serbia,N. Vidić,81
Serbia,N. Kovačević,63
Estonia,R. Klavan,74
Moldova,S. Ivanov,67
Israel,T. Ben Haim,69
Slovenia,Z. Dedič,68
Bosnia and Herzegovina,E. Spahić,76
Hungary,K. Vadócz,71
France,E. Abidal,75
United States,F. Adu,68
Austria,B. Hüttenbrenner,64
Belgium,S. Bossut,72
Denmark,J. Thomsen,65
Greece,A. Tziolis,70
Republic of Ireland,M. McNulty,60
Cameroon,P. Webó,74
Spain,Verza,66
Spain,Aitor Sanz,71
Argentina,D. Ludueña,70
Argentina,L. López,78
Argentina,D. Milito,78
Argentina,C. Araujo,71
Argentina,M. Barovero,75
Argentina,L. González,77
Argentina,J. Mascherano,79
Argentina,G. Rodríguez,72
Argentina,P. Zabaleta,74
Argentina,J. Gutiérrez,69
Ukraine,A. Pyatov,76
Argentina,G. Denis,71
Argentina,R. Martínez,70
Argentina,M. Barbosa,75
Argentina,J. Dátolo,73
Argentina,C. Tévez,78
Argentina,A. Gómez,86
Argentina,M. Pavone,71
Argentina,J. Sosa,78
Turkey,G. Karadeniz,73
Argentina,L. Pocrnjic,71
Turkey,O. Adın,70
Turkey,Serhat Akin RF  LF,65
Turkey,V. Demirel,74
Netherlands,P. van Hooijdonk,79
Turkey,G. Gönül,76
Colombia,F. Mondragón,72
Turkey,A. Turan,74
Turkey,M. Demir,70
Turkey,Y. Kurtuluş,66
Switzerland,C. Schwegler,67
Kosovo,A. Bunjaku,67
Turkey,S. Kırıntılı,75
Turkey,E. Albayrak,72
Sweden,O. Wendt,75
Brazil,Raffael,76
Spain,Mora,70
Spain,Ion Vélez,64
Spain,Tito,71
Spain,Momo,68
Spain,Mikel Rico,73
Spain,Andrés Fernández,78
Spain,Negredo,76
Spain,Raúl Cámara  B,67
Spain,Javi Fuego,69
Spain,Xabi Prieto,80
Brazil,Dani Alves,82
Spain,Jesús Navas,84
Spain,Santi Cazorla,82
Spain,Dani Giménez,72
Brazil,Sylvinho,77
Uruguay,G. Munúa,74
Brazil,Nenê,76
Brazil,Anderson Silva,68
Spain,Diego López,76
Spain,Soldado,76
Spain,Juanfran,80
Spain,Vesga,75
Spain,Iván Cuéllar,77
Spain,Gabi,81
Argentina,J. Pinola,76
Spain,Iñaki Astiz,63
Spain,Rubén,74
Spain,Diego Castro,76
Russia,D. Bilyaletdinov,69
Russia,A. Samedov,76
Russia,A. Arshavin,75
Romania,C. Moţi,69
Russia,I. Akinfeev,80
Croatia,I. Olić,71
Russia,A. Rebrov,70
Portugal,Raúl Meireles,76
Russia,R. Yanbaev,73
Poland,P. Kieszek,75
Poland,M. Wasilewski,68
Belgium,B. Vandenbussche,63
Brazil,Luisão,77
Netherlands,K. Huntelaar,74
Italy,C. Molinaro,69
Italy,C. Maggio,74
Italy,F. Magnanelli,75
Italy,G. Mascara,66
Italy,A. Cordaz,72
Bulgaria,V. Bojinov,69
Italy,A. Rosati,69
Republic of Ireland,A. Bennett,56
Republic of Ireland,K. Doyle,67
Republic of Ireland,G. Rogers,63
Republic of Ireland,W. Hoolahan,66
Republic of Ireland,K. Fahey,66
Republic of Ireland,D. Murphy,67
Paraguay,D. López,66
Greece,A. Papadopoulos,68
Czech Republic,J. Drobný,72
Germany,M. Gómez,74
France,R. Salin,72
Germany,L. Podolski,75
Peru,P. Guerrero,78
Germany,P. Ochs,74
France,S. Puygrenier,73
France,J. Perbet,67
DR Congo,J. Moukoko,54
France,R. Mavuba,73
France,V. Demarconnay,68
France,R. Sartre,63
England,J. Hart,75
Finland,B. Rotenberg B,62
England,J. Coppinger,66
Northern Ireland,S. Davis,71
Denmark,J. Absalonsen,66
Denmark,D. Agger,77
Austria,P. Netzer,65
Austria,M. Gspurning,66
England,G. Evans,64
England,J. Puncheon,72
England,B. Johnson,69
France,G. Clichy,76
Norway,A. Tettey,71
Canada,O. Occéan,65
Norway,J. Bjørdal,64
Portugal,Ricardo Vaz Tê,71
Spain,Piqué,86
England,A. Lennon,73
Brazil,Bobô,73
England,M. Noble,75
England,A. Young,77
Argentina,J. Sand,75
Argentina,D. Montenegro,73
Argentina,R. Sambueza,76
Paraguay,E. Barreto,71
England,L. Barnard,60
England,D. Marney,64
Republic of Ireland,S. Kelly,64
Argentina,R. Civelli,72
Norway,P. Skjelbred,76
Argentina,D. Cvitanich,74
Argentina,R. Palacio,75
Norway,M. Eikrem,75
Argentina,J. Insaurralde,71
Argentina,V. Figueroa,62
Argentina,S. Agüero,89
Argentina,M. Zárate,76
France,A. Gignac,81
Brazil,Hilton,77
France,J. Leca,73
France,Y. Gourcuff,74
Norway,A. Håland,67
Spain,Àngel Rangel,68
Spain,Jorge Molina,78
Italy,M. Pasqual,74
Russia,Y. Zhirkov,77
South Korea,Lee Chung Yong,73
Germany,M. Schäfer,76
England,R. Stearman,68
Nigeria,C. Ikeme,70
England,L. Clarke,67
Poland,P. Celeban,66
Denmark,M. Ørnskov,64
Colombia,L. Perea,75
Spain,Sergio Ramos,89
Poland,B. Białkowski,72
Republic of Ireland,A. McGeady,70
Republic of Ireland,S. Henderson,65
United States,M. Bradley,75
Argentina,F. Insúa,70
United States,C. Dempsey,76
Spain,Andrea Orlandi,69
Scotland,R. Snodgrass,77
Australia,S. McDonald,65
Scotland,C. Adam,67
Scotland,R. McCormack,70
Spain,Markel Bergara,75
Finland,R. Eremenko,78
England,M. Cranie,67
England,M. Mills,65
Antigua and Barbuda,D. Blackstock,65
England,J. Thomas,68
England,J. Lewis,72
Brazil,Ederson,74
England,A. Akinfenwa,65
Mexico,M. Muñoz,71
Mexico,D. Álvarez,70
Mexico,R. Márquez Lugo,65
Czech Republic,P. Quasten,66
Mexico,J. Corona,75
Brazil,Roberci,69
France,G. Hoarau,74
Mexico,A. Talavera,74
Germany,P. Pentke,73
Austria,T. Gebauer,64
England,R. Wood,66
Japan,Y. Abe,65
Argentina,C. Lucchetti,71
Mexico,M. Vuoso,69
Mexico,I. Vázquez,68
Mexico,H. Herrera,81
France,F. Ribéry,81
Ivory Coast,I. Sissoko,72
Sweden,A. Granqvist,72
France,M. Flamini,75
France,J. Faubert,71
Mexico,G. Rojas,62
England,D. Pratley,65
Scotland,C. Berra,68
Italy,G. Sardo,66
Italy,A. Nocerino,71
Mexico,C. Ochoa,66
Republic of Ireland,J. Russell,52
Netherlands,R. Babel,77
Belgium,T. Vermaelen,75
France,S. Marveaux,67
Mali,M. Sissoko,68
Mexico,C. Giménez,69
Spain,Pedro López,72
Spain,Raúl Albiol,82
Chile,J. Valdivia,72
Cameroon,A. Song,70
Germany,M. Stoppelkamp,69
Algeria,D. Mesbah,73
Croatia,N. Kranjčar,68
England,S. Dann,73
Belgium,L. Ciman,69
Germany,U. Hünemeier,68
Kosovo,B. Berisha,68
Germany,M. Russ,72
Finland,A. Jaakkola,67
England,S. Carson,70
United States,Q. Westberg,69
Brazil,Leandro Domingues,65
Portugal,Manuel Fernandes,79
Argentina,L. Messi,93
France,B. Costil,79
Peru,J. Farfán,77
Germany,A. Hunt,73
Spain,Salva Sevilla,74
Austria,M. Sonnleitner,67
Spain,Juanma,70
Ivory Coast,S. Kalou,76
China,Zheng Zhi,68
China,Gao Lin,67
China,Dong Fangzhuo,62
Chile,M. González,73
Italy,F. Evacuo,66
Netherlands,I. Afellay,74
Ghana,N. Asare,71
Germany,K. Reichel,69
Switzerland,Gelson Fernandes,76
Trinidad and Tobago,K. Jones,66
Mexico,O. Peralta,69
Brazil,Dante,76
France,M. Debuchy B,78
Germany,P. Tschauner,72
Netherlands,W. Janssen,73
England,L. Osman,75
Switzerland,G. İnler,73
Mexico,C. Saucedo,70
Chile,J. Beausejour,72
Germany,C. Gentner,74
Scotland,D. Fox,67
Switzerland,P. Schwegler,74
Sweden,P. Andersson,71
Brazil,Léo Matos,75
Argentina,J. Barroso,71
Argentina,L. Biglia,77
England,S. Taylor,70
Burkina Faso,J. Pitroipa,66
Argentina,E. Lavezzi,80
Uruguay,J. Olivera,69
Scotland,C. Bryson,67
France,B. Gomis,80
France,L. Perrin,78
Brazil,Anderson Martins,71
Spain,Jurado,70
Togo,A. Romao,77
Panama,R. Nurse,64
Mexico,G. Rodríguez,68
Denmark,M. Krohn-Dehli,73
Italy,F. Quagliarella,80
Italy,R. Montolivo,78
Austria,E. Hoffer,64
Brazil,Muriqui,73
Uruguay,D. Pérez,70
Spain,Abraham González,66
Republic of Ireland,D. Delaney,62
Spain,Oriol Riera,67
Spain,Javito,65
Gibraltar,S. Wiseman B,62
Brazil,Élton,67
Chile,N. Meriz,67
England,B. Watson,70
England,S. Togwell,61
Australia,E. Galekovic,66
Argentina,D. Abraham,76
Brazil,Adrianinho,69
France,J. Ménez,70
Brazil,Fred,77
Cameroon,M. Matip,70
France,H. Ben Arfa,75
Uruguay,S. Viera,73
Colombia,V. Montaño,66
Mexico,J. Rivas,67
Spain,Javi García,75
Spain,Agirretxe,74
Switzerland,V. Behrami,75
Austria,F. Klein B,69
Argentina,M. Boselli,76
Spain,Borja Valero,77
France,A. Konko,74
Spain,Zapater,66
Denmark,D. Ousted,67
England,L. Chambers,66
Venezuela,F. Amorebieta,73
Spain,Llorente,75
Nigeria,O. Ajilore,64
Turkey,S. Bolat,75
Germany,A. Baumjohann,69
Belgium,M. Dembélé,80
Poland,R. Cierzniak,65
Poland,A. Mierzejewski,75
Italy,D. Padelli,73
England,L. Ridgewell,64
Netherlands,R. Pasveer,73
Morocco,K. El Ahmadi,74
Portugal,João Moutinho,83
Netherlands,H. Drost,64
Bosnia and Herzegovina,V. Ibišević,75
Italy,G. Rossi,73
Scotland,S. Cuthbert,64
Slovenia,S. Handanovič,88
United States,J. Spector,71
Switzerland,J. Djourou,71
Spain,Cesc Fàbregas,75
England,M. Sadler,63
Australia,N. Kilkenny,67
Republic of Ireland,C. Doyle,65
Scotland,P. Gallagher,70
Argentina,M. Caranta,67
Scotland,J. Morrison,71
England,J. Perch,63
Brazil,Evaldo,68
England,B. Sharp,73
Portugal,Rolando,73
Republic of Ireland,A. McCormack,65
England,B. Foster,79
Belgium,G. Gillet,71
Northern Ireland,M. McGovern,67
Scotland,S. Naismith,72
Scotland,P. Bardsley,73
England,T. Heaton,78
Serbia,M. Krasić,71
Mexico,J. Orozco,77
Republic of Ireland,G. Whelan,67
England,D. Graham,67
Republic of Ireland,S. Cox,64
Belgium,S. Pocognoli,68
England,J. Vaughan,64
France,B. Sagna,71
France,A. Diaby,72
Czech Republic,D. Limberský,74
Italy,A. Consigli,81
France,J. Clément,65
England,M. Jarvis,67
England,T. Craig,64
Denmark,K. Schmeichel,84
England,J. Ruddy,70
England,J. Young,68
Republic of Ireland,J. Hayes,69
England,G. Leadbitter,66
England,L. Baines,75
France,D. Congré,74
Mexico,O. Arellano,65
Benin,S. Sessègnon,74
France,S. Mandanda,83
France,L. Diarra,78
England,C. Davies,70
England,M. Rose,60
France,G. Jourdren,68
France,J. Féret,69
Spain,Sergio,74
Wales,A. Williams,69
England,A. Le Fondre,70
Portugal,Eduardo,72
Italy,A. Diamanti,75
Brazil,Charles,78
Spain,Nauzet,71
Brazil,Juninho,72
Brazil,Adriano,74
Brazil,Filipe Luís,85
Brazil,Thiago Silva,85
Brazil,André Santos,75
Italy,G. Pellè,75
Morocco,M. Boussoufa,78
Sweden,S. Larsson,73
England,N. Onuoha,69
England,B. Wright-Phillips,74
Northern Ireland,J. Ward,64
England,G. Cahill,77
England,G. Agbonlahor,69
Spain,Pita,70
Spain,Xisco,71
Nigeria,J. Mikel,72
Germany,D. Aogo,73
United States,B. Guzan,72
United States,D. Moor,67
United States,C. Wondolowski,68
Canada,W. Johnson,67
United States,J. Larentowicz,67
Germany,T. Hoogland,70
Republic of Ireland,S. Dawson,60
Scotland,L. Wallace,68
Scotland,S. Fletcher,70
United States,S. Holden,72
Poland,L. Fabiański,81
Portugal,Bruno Gama,74
Australia,A. Federici,70
Wales,J. Lynch,68
England,T. Walcott,76
Spain,Michu,73
Israel,L. Refaelov,73
Portugal,Nuno Mendes,71
Cameroon,S. M'Bia,73
Poland,J. Błaszczykowski,74
Ivory Coast,S. Cissé,70
Romania,�. Radu,78
France,K. Benzema,89
Poland,E. Polański,74
Wales,J. Ledley,67
England,C. Jerome,70
France,L. Koscielny,79
France,N. Maurice-Belay,75
France,S. Nasri,74
South Africa,I. Khune,73
Togo,R. Boukari,64
Republic of Ireland,S. Ward,68
Romania,C. Keșerü,73
England,J. Taylor,59
Cyprus,J. Demetriou B,65
Argentina,N. Navarro,70
Argentina,N. Pareja,76
England,J. Lillis,62
Republic of Ireland,B. Clarke,63
Argentina,F. Gago,73
Italy,G. Paletta,71
Argentina,I. Sosa,74
Argentina,G. Cabral,74
Brazil,Doka,76
Argentina,M. Ruben,74
Brazil,Diego Alves,82
Australia,B. Jones,72
Brazil,Cássio,74
Argentina,L. Ulloa,70
Brazil,Juan,69
Brazil,Jonathan,73
South Korea,Yang Sang Min,62
South Korea,Park Chu Young,69
Brazil,Danilo,74
Portugal,Bebé,72
Brazil,Evandro,71
Brazil,Jorge Henrique,71
Iran,A. Karimi,73
Turkey,H. Balta,73
Turkey,F. Öztürk,68
Northern Ireland,D. Bucha,63
Turkey,C. Kazim-Richards,68
Haiti,D. Etienne Jr.,65
Slovakia,M. Škrtel,78
Russia,A. Kasaev,74
Republic of Ireland,B. Murphy,58
Northern Ireland,T. Carson,68
England,M. Pugh,69
Wales,N. Adams B,67
Northern Ireland,K. Lafferty,66
Republic of Ireland,C. McCann,64
Iceland,K. Árnason,68
Norway,L. Grorud,61
Republic of Ireland,M. Wilson,67
Germany,A. Bellinghausen,66
Russia,A. Sinitsyn,74
Norway,F. Nordkvelle,64
Peru,J. Vargas,76
Czech Republic,M. Kadlec,68
Colombia,Falcao,80
Czech Republic,J. Polák,67
Argentina,C. Llama,65
Germany,G. Castro,73
Argentina,O. Ustari,70
Germany,D. Stroh-Engel,64
Germany,O. Fink,72
Germany,M. Neuer,89
England,S. Whalley,66
Serbia,D. Basta,76
Serbia,N. Žigić,64
Mexico,E. Juárez,67
Mexico,J. Torres Nilo,72
Mexico,A. Aldrete,73
Russia,R. Shishkin,75
Russia,A. Shunin,73
