season,team,cluster
2010,San Jose State,7
2010,South Carolina,2
2010,South Florida,10
2010,Southern California,6
2010,Southern Methodist,4
2010,Southern Mississippi,4
2010,Stanford,6
2010,Syracuse,10
2010,Temple,0
2010,Tennessee,2
2010,Texas,3
2010,Texas A&M,3
2010,Texas Christian,9
2010,Texas Tech,3
2010,Texas-El Paso,4
2010,Toledo,0
2010,Troy,8
2010,Tulane,4
2010,Tulsa,4
2010,UCLA,6
2010,Utah,9
2010,Utah State,7
2010,Vanderbilt,2
2010,Virginia,1
2010,Virginia Tech,1
2010,Wake Forest,1
2010,Washington,6
2010,Washington State,6
2010,West Virginia,10
2010,Western Kentucky,8
2010,Western Michigan,0
2010,Wisconsin,5
2010,Wyoming,9
2011,Air Force,9
2011,Akron,0
2011,Alabama,3
2011,Alabama-Birmingham,10
2011,Arizona,2
2011,Arizona State,2
2011,Arkansas,3
2011,Arkansas State,7
2011,Army,0
2011,Auburn,3
2011,Ball State,0
2011,Baylor,5
2011,Boise State,9
2011,Boston College,1
2011,Bowling Green,0
2011,Brigham Young,6
2011,Buffalo,0
2011,California,2
2011,Central Florida,10
2011,Central Michigan,0
2011,Cincinnati,8
2011,Clemson,1
2011,Colorado,2
2011,Colorado State,9
2011,Connecticut,8
2011,Duke,1
2011,East Carolina,10
2011,Eastern Michigan,0
2011,Florida,3
2011,Florida Atlantic,7
2011,Florida International,7
2011,Florida State,1
2011,Fresno State,6
2011,Georgia,3
2011,Georgia Tech,1
2011,Hawaii,6
2011,Houston,11
2011,Idaho,6
2011,Illinois,4
2011,Indiana,4
2011,Iowa,4
2011,Iowa State,5
2011,Kansas,5
2011,Kansas State,5
2011,Kent State,0
2011,Kentucky,3
2011,Louisiana,7
2011,Louisiana State,3
2011,Louisiana Tech,6
2011,Louisiana-Monroe,7
2011,Louisville,8
2011,Marshall,10
2011,Maryland,1
2011,Memphis,10
2011,Miami (FL),1
2011,Miami (OH),0
2011,Michigan,4
2011,Michigan State,4
2011,Middle Tennessee State,7
2011,Minnesota,4
2011,Mississippi,3
2011,Mississippi State,3
2011,Missouri,5
2011,Navy,10
2011,Nebraska,4
2011,Nevada,6
2011,Nevada-Las Vegas,9
2011,New Mexico,9
2011,New Mexico State,6
2011,North Carolina,1
2011,North Carolina State,1
2011,North Texas,7
2011,Northern Illinois,0
2011,Northwestern,4
2011,Notre Dame,1
2011,Ohio,0
2011,Ohio State,4
2011,Oklahoma,5
2011,Oklahoma State,5
2011,Oregon,2
2011,Oregon State,2
2011,Penn State,4
2011,Pittsburgh,8
2011,Purdue,4
2011,Rice,11
2011,Rutgers,8
2011,San Diego State,9
2011,San Jose State,6
2011,South Carolina,3
2011,South Florida,8
2011,Southern California,2
2011,Southern Methodist,11
2011,Southern Mississippi,10
2011,Stanford,2
2011,Syracuse,8
2011,Temple,0
2011,Tennessee,3
2011,Texas,5
2011,Texas A&M,5
2011,Texas Christian,9
2011,Texas Tech,5
2011,Texas-El Paso,11
2011,Toledo,0
2011,Troy,7
2011,Tulane,11
2011,Tulsa,11
2011,UCLA,2
2011,Utah,2
2011,Utah State,6
2011,Vanderbilt,3
2011,Virginia,1
2011,Virginia Tech,1
2011,Wake Forest,1
2011,Washington,2
2011,Washington State,2
2011,West Virginia,8
2011,Western Kentucky,7
2011,Western Michigan,0
2011,Wisconsin,4
2011,Wyoming,9
2012,Air Force,5
2012,Akron,0
2012,Alabama,11
2012,Alabama-Birmingham,3
2012,Arizona,2
2012,Arizona State,2
2012,Arkansas,11
2012,Arkansas State,7
2012,Army,0
2012,Auburn,11
2012,Ball State,0
2012,Baylor,6
2012,Boise State,5
2012,Boston College,4
2012,Bowling Green,0
2012,Brigham Young,9
2012,Buffalo,0
2012,California,2
2012,Central Florida,3
2012,Central Michigan,0
2012,Cincinnati,8
2012,Clemson,4
2012,Colorado,2
2012,Colorado State,5
2012,Connecticut,8
2012,Duke,4
2012,East Carolina,3
2012,Eastern Michigan,0
2012,Florida,10
2012,Florida Atlantic,7
2012,Florida International,7
2012,Florida State,4
2012,Fresno State,5
2012,Georgia,10
2012,Georgia Tech,4
2012,Hawaii,5
2012,Houston,3
2012,Idaho,9
2012,Illinois,1
2012,Indiana,1
2012,Iowa,1
2012,Iowa State,6
2012,Kansas,6
2012,Kansas State,6
2012,Kent State,0
2012,Kentucky,10
2012,Louisiana,7
2012,Louisiana State,11
2012,Louisiana Tech,9
2012,Louisiana-Monroe,7
2012,Louisville,8
2012,Marshall,3
2012,Maryland,4
2012,Massachusetts,0
2012,Memphis,3
2012,Miami (FL),4
2012,Miami (OH),0
2012,Michigan,1
2012,Michigan State,1
2012,Middle Tennessee State,7
2012,Minnesota,1
2012,Mississippi,11
2012,Mississippi State,11
2012,Missouri,10
2012,Navy,1
2012,Nebraska,1
2012,Nevada,5
2012,Nevada-Las Vegas,5
2012,New Mexico,5
2012,New Mexico State,9
2012,North Carolina,4
2012,North Carolina State,4
2012,North Texas,7
2012,Northern Illinois,0
2012,Northwestern,1
2012,Notre Dame,1
2012,Ohio,0
2012,Ohio State,1
2012,Oklahoma,6
2012,Oklahoma State,6
2012,Oregon,2
2012,Oregon State,2
2012,Penn State,1
2012,Pittsburgh,8
2012,Purdue,1
2012,Rice,3
2012,Rutgers,8
2012,San Diego State,5
2012,San Jose State,9
2012,South Alabama,7
2012,South Carolina,10
2012,South Florida,8
2012,Southern California,2
2012,Southern Methodist,3
2012,Southern Mississippi,3
2012,Stanford,2
2012,Syracuse,8
2012,Temple,8
2012,Tennessee,10
2012,Texas,6
2012,Texas A&M,11
2012,Texas Christian,6
2012,Texas State,9
2012,Texas Tech,6
2012,Texas-El Paso,3
2012,Texas-San Antonio,9
2012,Toledo,0
2012,Troy,7
2012,Tulane,3
2012,Tulsa,3
2012,UCLA,2
2012,Utah,2
2012,Utah State,9
2012,Vanderbilt,10
2012,Virginia,4
2012,Virginia Tech,4
2012,Wake Forest,4
2012,Washington,2
2012,Washington State,2
2012,West Virginia,6
2012,Western Kentucky,7
2012,Western Michigan,0
2012,Wisconsin,1
2012,Wyoming,5
2013,Air Force,0
2013,Akron,1
2013,Alabama,9
2013,Alabama-Birmingham,11
2013,Arizona,3
2013,Arizona State,3
2013,Arkansas,9
2013,Arkansas State,6
2013,Army,0
2013,Auburn,9
2013,Ball State,1
2013,Baylor,4
2013,Boise State,0
2013,Boston College,10
2013,Bowling Green,1
2013,Brigham Young,0
2013,Buffalo,1
2013,California,3
2013,Central Florida,5
2013,Central Michigan,1
2013,Cincinnati,5
2013,Clemson,10
2013,Colorado,3
2013,Colorado State,0
2013,Connecticut,5
2013,Duke,7
2013,East Carolina,11
2013,Eastern Michigan,1
2013,Florida,12
2013,Florida Atlantic,11
2013,Florida International,11
2013,Florida State,10
2013,Fresno State,0
2013,Georgia,12
2013,Georgia State,6
2013,Georgia Tech,7
2013,Hawaii,0
2013,Houston,5
2013,Idaho,6
2013,Illinois,2
2013,Indiana,2
2013,Iowa,2
2013,Iowa State,4
2013,Kansas,4
2013,Kansas State,4
2013,Kent State,1
2013,Kentucky,12
2013,Louisiana,6
2013,Louisiana State,9
2013,Louisiana Tech,8
2013,Louisiana-Monroe,6
2013,Louisville,5
2013,Marshall,11
2013,Maryland,10
2013,Massachusetts,1
2013,Memphis,5
2013,Miami (FL),7
2013,Miami (OH),1
2013,Michigan,2
2013,Michigan State,2
2013,Middle Tennessee State,11
2013,Minnesota,2
2013,Mississippi,9
2013,Mississippi State,9
2013,Missouri,12
2013,Navy,0
2013,Nebraska,2
2013,Nevada,0
2013,Nevada-Las Vegas,0
2013,New Mexico,0
2013,New Mexico State,8
2013,North Carolina,7
2013,North Carolina State,10
2013,North Texas,8
2013,Northern Illinois,1
2013,Northwestern,2
2013,Notre Dame,2
2013,Ohio,1
2013,Ohio State,2
2013,Oklahoma,4
2013,Oklahoma State,4
2013,Old Dominion,7
2013,Oregon,3
2013,Oregon State,3
2013,Penn State,2
2013,Pittsburgh,7
2013,Purdue,2
2013,Rice,8
2013,Rutgers,5
2013,San Diego State,0
2013,San Jose State,0
2013,South Alabama,6
2013,South Carolina,12
2013,South Florida,5
2013,Southern California,3
2013,Southern Methodist,5
2013,Southern Mississippi,11
2013,Stanford,3
2013,Syracuse,10
2013,Temple,5
2013,Tennessee,12
2013,Texas,4
2013,Texas A&M,9
2013,Texas Christian,4
2013,Texas State,6
2013,Texas Tech,4
2013,Texas-El Paso,8
2013,Texas-San Antonio,8
2013,Toledo,1
2013,Troy,6
2013,Tulane,8
2013,Tulsa,8
2013,UCLA,3
2013,Utah,3
2013,Utah State,0
2013,Vanderbilt,12
2013,Virginia,7
2013,Virginia Tech,7
2013,Wake Forest,10
2013,Washington,3
2013,Washington State,3
2013,West Virginia,4
2013,Western Kentucky,6
2013,Western Michigan,1
2013,Wisconsin,2
2013,Wyoming,0
2014,Air Force,2
2014,Akron,0
2014,Alabama,9
2014,Alabama-Birmingham,3
2014,Appalachian State,4
2014,Arizona,5
2014,Arizona State,5
2014,Arkansas,11
2014,Arkansas State,4
2014,Army,0
2014,Auburn,11
2014,Ball State,0
2014,Baylor,7
2014,Boise State,2
2014,Boston College,8
2014,Bowling Green,0
2014,Brigham Young,2
2014,Buffalo,0
2014,California,5
2014,Central Florida,6
2014,Central Michigan,0
2014,Cincinnati,6
2014,Clemson,8
2014,Colorado,5
2014,Colorado State,2
2014,Connecticut,6
2014,Duke,10
2014,East Carolina,6
2014,Eastern Michigan,0
2014,Florida,9
2014,Florida Atlantic,3
2014,Florida International,3
2014,Florida State,8
2014,Fresno State,2
2014,Georgia,11
2014,Georgia Southern,4
2014,Georgia State,4
2014,Georgia Tech,10
2014,Hawaii,2
2014,Houston,6
2014,Idaho,4
2014,Illinois,1
2014,Indiana,1
2014,Iowa,1
2014,Iowa State,7
2014,Kansas,7
2014,Kansas State,7
2014,Kent State,0
2014,Kentucky,9
2014,Louisiana,4
2014,Louisiana State,9
2014,Louisiana Tech,3
2014,Louisiana-Monroe,4
2014,Louisville,8
2014,Marshall,3
2014,Maryland,1
2014,Massachusetts,0
2014,Memphis,6
2014,Miami (FL),10
2014,Miami (OH),0
2014,Michigan,1
2014,Michigan State,1
2014,Middle Tennessee State,3
2014,Minnesota,1
2014,Mississippi,9
2014,Mississippi State,9
2014,Missouri,11
2014,Navy,4
2014,Nebraska,1
2014,Nevada,2
2014,Nevada-Las Vegas,2
2014,New Mexico,2
2014,New Mexico State,4
2014,North Carolina,10
2014,North Carolina State,8
2014,North Texas,3
2014,Northern Illinois,0
2014,Northwestern,1
2014,Notre Dame,8
2014,Ohio,0
2014,Ohio State,1
2014,Oklahoma,7
2014,Oklahoma State,7
2014,Old Dominion,3
2014,Oregon,5
2014,Oregon State,5
2014,Penn State,1
2014,Pittsburgh,10
2014,Purdue,1
2014,Rice,3
2014,Rutgers,1
2014,San Diego State,2
2014,San Jose State,2
2014,South Alabama,4
2014,South Carolina,11
2014,South Florida,6
2014,Southern California,5
2014,Southern Methodist,6
2014,Southern Mississippi,3
2014,Stanford,5
2014,Syracuse,8
2014,Temple,6
2014,Tennessee,9
2014,Texas,7
2014,Texas A&M,11
2014,Texas Christian,7
2014,Texas State,4
2014,Texas Tech,7
2014,Texas-El Paso,3
2014,Texas-San Antonio,3
2014,Toledo,0
2014,Troy,4
2014,Tulane,6
2014,Tulsa,6
2014,UCLA,5
2014,Utah,5
2014,Utah State,2
2014,Vanderbilt,9
2014,Virginia,10
2014,Virginia Tech,10
2014,Wake Forest,8
2014,Washington,5
2014,Washington State,5
2014,West Virginia,7
2014,Western Kentucky,3
2014,Western Michigan,0
2014,Wisconsin,1
2014,Wyoming,2
2015,Air Force,5
2015,Akron,2
2015,Alabama,0
2015,Appalachian State,7
2015,Arizona,6
2015,Arizona State,6
2015,Arkansas,0
2015,Arkansas State,7
2015,Army,3
2015,Auburn,0
2015,Ball State,2
2015,Baylor,8
2015,Boise State,5
2015,Boston College,9
2015,Bowling Green,2
2015,Brigham Young,5
2015,Buffalo,2
2015,California,6
2015,Central Florida,3
2015,Central Michigan,2
2015,Charlotte,4
2015,Cincinnati,3
2015,Clemson,9
2015,Colorado,6
2015,Colorado State,5
2015,Connecticut,3
2015,Duke,10
2015,East Carolina,3
2015,Eastern Michigan,2
2015,Florida,0
2015,Florida Atlantic,4
2015,Florida International,4
2015,Florida State,9
2015,Fresno State,5
2015,Georgia,0
2015,Georgia Southern,7
2015,Georgia State,7
2015,Georgia Tech,10
2015,Hawaii,5
2015,Houston,3
2015,Idaho,7
2015,Illinois,1
2015,Indiana,1
2015,Iowa,1
2015,Iowa State,8
2015,Kansas,8
2015,Kansas State,8
2015,Kent State,2
2015,Kentucky,0
2015,Louisiana,7
2015,Louisiana State,0
2015,Louisiana Tech,4
2015,Louisiana-Monroe,7
2015,Louisville,9
2015,Marshall,4
2015,Maryland,1
2015,Massachusetts,2
2015,Memphis,3
2015,Miami (FL),10
2015,Miami (OH),2
2015,Michigan,1
2015,Michigan State,1
2015,Middle Tennessee State,4
2015,Minnesota,1
2015,Mississippi,0
2015,Mississippi State,0
2015,Missouri,0
2015,Navy,3
2015,Nebraska,1
2015,Nevada,5
2015,Nevada-Las Vegas,5
2015,New Mexico,5
2015,New Mexico State,7
2015,North Carolina,10
2015,North Carolina State,9
2015,North Texas,4
2015,Northern Illinois,2
2015,Northwestern,1
2015,Notre Dame,9
2015,Ohio,2
2015,Ohio State,1
2015,Oklahoma,8
2015,Oklahoma State,8
2015,Old Dominion,4
2015,Oregon,6
2015,Oregon State,6
2015,Penn State,1
2015,Pittsburgh,10
2015,Purdue,1
2015,Rice,4
2015,Rutgers,1
2015,San Diego State,5
2015,San Jose State,5
2015,South Alabama,7
2015,South Carolina,0
2015,South Florida,3
2015,Southern California,6
2015,Southern Methodist,3
2015,Southern Mississippi,4
2015,Stanford,6
2015,Syracuse,9
2015,Temple,3
2015,Tennessee,0
2015,Texas,8
2015,Texas A&M,0
2015,Texas Christian,8
2015,Texas State,7
2015,Texas Tech,8
2015,Texas-El Paso,4
2015,Texas-San Antonio,4
2015,Toledo,2
2015,Troy,7
2015,Tulane,3
2015,Tulsa,3
2015,UCLA,6
2015,Utah,6
2015,Utah State,5
2015,Vanderbilt,0
2015,Virginia,10
2015,Virginia Tech,10
2015,Wake Forest,9
2015,Washington,6
2015,Washington State,6
2015,West Virginia,8
2015,Western Kentucky,4
2015,Western Michigan,2
2015,Wisconsin,1
2015,Wyoming,5
2016,Air Force,5
2016,Akron,11
2016,Alabama,0
2016,Appalachian State,6
2016,Arizona,3
2016,Arizona State,3
2016,Arkansas,0
2016,Arkansas State,6
2016,Army,1
2016,Auburn,0
2016,Ball State,10
2016,Baylor,7
2016,Boise State,5
2016,Boston College,9
2016,Bowling Green,11
2016,Brigham Young,3
2016,Buffalo,11
2016,California,3
2016,Central Florida,4
2016,Central Michigan,10
2016,Charlotte,1
2016,Cincinnati,4
2016,Clemson,9
2016,Colorado,3
2016,Colorado State,5
2016,Connecticut,4
2016,Duke,8
2016,East Carolina,4
2016,Eastern Michigan,10
2016,Florida,0
2016,Florida Atlantic,1
2016,Florida International,1
2016,Florida State,9
2016,Fresno State,5
2016,Georgia,0
2016,Georgia Southern,6
2016,Georgia State,6
2016,Georgia Tech,8
2016,Hawaii,5
2016,Houston,4
2016,Idaho,6
2016,Illinois,2
2016,Indiana,2
2016,Iowa,2
2016,Iowa State,7
2016,Kansas,7
2016,Kansas State,7
2016,Kent State,11
2016,Kentucky,0
2016,Louisiana,6
2016,Louisiana State,0
2016,Louisiana Tech,1
2016,Louisiana-Monroe,6
2016,Louisville,9
2016,Marshall,1
2016,Maryland,2
2016,Massachusetts,0
2016,Memphis,4
2016,Miami (FL),8
2016,Miami (OH),11
2016,Michigan,2
2016,Michigan State,2
2016,Middle Tennessee State,1
2016,Minnesota,2
2016,Mississippi,0
2016,Mississippi State,0
2016,Missouri,0
2016,Navy,4
2016,Nebraska,2
2016,Nevada,5
2016,Nevada-Las Vegas,5
2016,New Mexico,5
2016,New Mexico State,6
2016,North Carolina,8
2016,North Carolina State,9
2016,North Texas,1
2016,Northern Illinois,10
2016,Northwestern,2
2016,Notre Dame,8
2016,Ohio,11
2016,Ohio State,2
2016,Oklahoma,7
2016,Oklahoma State,7
2016,Old Dominion,1
2016,Oregon,3
2016,Oregon State,3
2016,Penn State,2
2016,Pittsburgh,8
2016,Purdue,2
2016,Rice,1
2016,Rutgers,2
2016,San Diego State,5
2016,San Jose State,5
2016,South Alabama,6
2016,South Carolina,0
2016,South Florida,4
2016,Southern California,3
2016,Southern Methodist,4
2016,Southern Mississippi,1
2016,Stanford,3
2016,Syracuse,9
2016,Temple,4
2016,Tennessee,0
2016,Texas,7
2016,Texas A&M,0
2016,Texas Christian,7
2016,Texas State,6
2016,Texas Tech,7
2016,Texas-El Paso,1
2016,Texas-San Antonio,1
2016,Toledo,10
2016,Troy,6
2016,Tulane,4
2016,Tulsa,4
2016,UCLA,3
2016,Utah,3
2016,Utah State,5
2016,Vanderbilt,0
2016,Virginia,8
2016,Virginia Tech,8
2016,Wake Forest,9
2016,Washington,3
2016,Washington State,3
2016,West Virginia,7
2016,Western Kentucky,1
2016,Western Michigan,10
2016,Wisconsin,2
2016,Wyoming,5
2017,Air Force,2
2017,Akron,3
2017,Alabama,9
2017,Alabama-Birmingham,8
2017,Appalachian State,1
2017,Arizona,4
2017,Arizona State,4
2017,Arkansas,9
2017,Arkansas State,1
2017,Army,8
2017,Auburn,9
2017,Ball State,3
2017,Baylor,6
2017,Boise State,2
2017,Boston College,7
2017,Bowling Green,3
2017,Brigham Young,2
2017,Buffalo,3
2017,California,4
2017,Central Florida,5
2017,Central Michigan,3
2017,Charlotte,10
2017,Cincinnati,5
2017,Clemson,7
2017,Coastal Carolina,1
2017,Colorado,4
2017,Colorado State,2
2017,Connecticut,5
2017,Duke,12
2017,East Carolina,5
2017,Eastern Michigan,3
2017,Florida,11
2017,Florida Atlantic,10
2017,Florida International,10
2017,Florida State,7
2017,Fresno State,2
2017,Georgia,11
2017,Georgia Southern,1
2017,Georgia State,1
2017,Georgia Tech,12
2017,Hawaii,2
2017,Houston,5
2017,Idaho,1
2017,Illinois,0
2017,Indiana,0
2017,Iowa,0
2017,Iowa State,6
2017,Kansas,6
2017,Kansas State,6
2017,Kent State,3
2017,Kentucky,11
2017,Liberty,6
2017,Louisiana,1
2017,Louisiana State,9
2017,Louisiana Tech,8
2017,Louisiana-Monroe,1
2017,Louisville,7
2017,Marshall,10
2017,Maryland,0
2017,Massachusetts,1
2017,Memphis,5
2017,Miami (FL),12
2017,Miami (OH),3
2017,Michigan,0
2017,Michigan State,0
2017,Middle Tennessee State,10
2017,Minnesota,0
2017,Mississippi,9
2017,Mississippi State,9
2017,Missouri,11
2017,Navy,5
2017,Nebraska,0
2017,Nevada,2
2017,Nevada-Las Vegas,2
2017,New Mexico,2
2017,New Mexico State,1
2017,North Carolina,12
2017,North Carolina State,7
2017,North Texas,8
2017,Northern Illinois,3
2017,Northwestern,0
2017,Notre Dame,7
2017,Ohio,3
2017,Ohio State,0
2017,Oklahoma,6
2017,Oklahoma State,6
2017,Old Dominion,10
2017,Oregon,4
2017,Oregon State,4
2017,Penn State,0
2017,Pittsburgh,12
2017,Purdue,0
2017,Rice,8
2017,Rutgers,0
2017,San Diego State,2
2017,San Jose State,2
2017,South Alabama,1
2017,South Carolina,11
2017,South Florida,5
2017,Southern California,4
2017,Southern Methodist,5
2017,Southern Mississippi,8
2017,Stanford,4
2017,Syracuse,7
2017,Temple,5
2017,Tennessee,11
2017,Texas,6
2017,Texas A&M,9
2017,Texas Christian,6
2017,Texas State,1
2017,Texas Tech,6
2017,Texas-El Paso,8
2017,Texas-San Antonio,8
2017,Toledo,3
2017,Troy,1
2017,Tulane,5
2017,Tulsa,5
2017,UCLA,4
2017,Utah,4
2017,Utah State,2
2017,Vanderbilt,11
2017,Virginia,12
2017,Virginia Tech,12
2017,Wake Forest,7
2017,Washington,4
2017,Washington State,4
2017,West Virginia,6
2017,Western Kentucky,10
2017,Western Michigan,3
2017,Wisconsin,0
2017,Wyoming,2
2018,Air Force,2
2018,Akron,4
2018,Alabama,8
2018,Alabama-Birmingham,12
2018,Appalachian State,1
2018,Arizona,3
2018,Arizona State,3
2018,Arkansas,8
2018,Arkansas State,1
2018,Army,2
2018,Auburn,8
2018,Ball State,4
2018,Baylor,6
2018,Boise State,2
2018,Boston College,7
2018,Bowling Green,4
2018,Brigham Young,3
2018,Buffalo,4
2018,California,3
2018,Central Florida,5
2018,Central Michigan,4
2018,Charlotte,9
2018,Cincinnati,5
2018,Clemson,7
2018,Coastal Carolina,1
2018,Colorado,3
2018,Colorado State,2
2018,Connecticut,5
2018,Duke,11
2018,East Carolina,5
2018,Eastern Michigan,4
2018,Florida,10
2018,Florida Atlantic,9
2018,Florida International,9
2018,Florida State,7
2018,Fresno State,2
2018,Georgia,10
2018,Georgia Southern,1
2018,Georgia State,1
2018,Georgia Tech,11
2018,Hawaii,2
2018,Houston,5
2018,Illinois,0
2018,Indiana,0
2018,Iowa,0
2018,Iowa State,6
2018,Kansas,6
2018,Kansas State,6
2018,Kent State,4
2018,Kentucky,10
2018,Liberty,1
2018,Louisiana,1
2018,Louisiana State,8
2018,Louisiana Tech,12
2018,Louisiana-Monroe,1
2018,Louisville,7
2018,Marshall,9
2018,Maryland,0
2018,Massachusetts,1
2018,Memphis,5
2018,Miami (FL),11
2018,Miami (OH),4
2018,Michigan,0
2018,Michigan State,0
2018,Middle Tennessee State,9
2018,Minnesota,0
2018,Mississippi,8
2018,Mississippi State,8
2018,Missouri,10
2018,Navy,5
2018,Nebraska,0
2018,Nevada,2
2018,Nevada-Las Vegas,2
2018,New Mexico,2
2018,New Mexico State,1
2018,North Carolina,11
2018,North Carolina State,7
2018,North Texas,12
2018,Northern Illinois,4
2018,Northwestern,0
2018,Notre Dame,7
2018,Ohio,4
2018,Ohio State,0
2018,Oklahoma,6
2018,Oklahoma State,6
2018,Old Dominion,9
2018,Oregon,3
2018,Oregon State,3
2018,Penn State,0
2018,Pittsburgh,11
2018,Purdue,0
2018,Rice,12
2018,Rutgers,0
2018,San Diego State,2
2018,San Jose State,2
2018,South Alabama,1
2018,South Carolina,10
2018,South Florida,5
2018,Southern California,3
2018,Southern Methodist,5
2018,Southern Mississippi,12
2018,Stanford,3
2018,Syracuse,7
2018,Temple,5
2018,Tennessee,10
2018,Texas,6
2018,Texas A&M,8
2018,Texas Christian,6
2018,Texas State,1
2018,Texas Tech,6
2018,Texas-El Paso,12
2018,Texas-San Antonio,12
2018,Toledo,4
2018,Troy,1
2018,Tulane,5
2018,Tulsa,5
2018,UCLA,3
2018,Utah,3
2018,Utah State,2
2018,Vanderbilt,10
2018,Virginia,11
2018,Virginia Tech,11
2018,Wake Forest,7
2018,Washington,3
2018,Washington State,3
2018,West Virginia,6
2018,Western Kentucky,9
2018,Western Michigan,4
2018,Wisconsin,0
2018,Wyoming,2
2019,Air Force,1
2019,Akron,4
2019,Alabama,9
2019,Alabama-Birmingham,0
2019,Appalachian State,6
2019,Arizona,3
2019,Arizona State,3
2019,Arkansas,9
2019,Arkansas State,6
2019,Army,0
2019,Auburn,9
2019,Ball State,4
2019,Baylor,7
2019,Boise State,1
2019,Boston College,10
2019,Bowling Green,4
2019,Brigham Young,1
2019,Buffalo,4
2019,California,3
2019,Central Florida,5
2019,Central Michigan,4
2019,Charlotte,0
2019,Cincinnati,5
2019,Clemson,10
2019,Coastal Carolina,6
2019,Colorado,3
2019,Colorado State,1
2019,Connecticut,5
2019,Duke,8
2019,East Carolina,5
2019,Eastern Michigan,4
2019,Florida,11
2019,Florida Atlantic,0
2019,Florida International,0
2019,Florida State,10
2019,Fresno State,1
2019,Georgia,11
2019,Georgia Southern,6
2019,Georgia State,6
2019,Georgia Tech,8
2019,Hawaii,1
2019,Houston,5
2019,Illinois,2
2019,Indiana,2
2019,Iowa,2
2019,Iowa State,7
2019,Kansas,7
2019,Kansas State,7
2019,Kent State,4
2019,Kentucky,11
2019,Liberty,1
2019,Louisiana,6
2019,Louisiana State,9
2019,Louisiana Tech,0
2019,Louisiana-Monroe,6
2019,Louisville,10
2019,Marshall,0
2019,Maryland,2
2019,Massachusetts,0
2019,Memphis,5
2019,Miami (FL),8
2019,Miami (OH),4
2019,Michigan,2
2019,Michigan State,2
2019,Middle Tennessee State,0
2019,Minnesota,2
2019,Mississippi,9
2019,Mississippi State,9
2019,Missouri,11
2019,Navy,5
2019,Nebraska,2
2019,Nevada,1
2019,Nevada-Las Vegas,1
2019,New Mexico,1
2019,New Mexico State,1
2019,North Carolina,8
2019,North Carolina State,10
2019,North Texas,0
2019,Northern Illinois,4
2019,Northwestern,2
2019,Notre Dame,8
2019,Ohio,4
2019,Ohio State,2
2019,Oklahoma,7
2019,Oklahoma State,7
2019,Old Dominion,0
2019,Oregon,3
2019,Oregon State,3
2019,Penn State,2
2019,Pittsburgh,8
2019,Purdue,2
2019,Rice,0
2019,Rutgers,2
2019,San Diego State,1
2019,San Jose State,1
2019,South Alabama,6
2019,South Carolina,11
2019,South Florida,5
2019,Southern California,3
2019,Southern Methodist,5
2019,Southern Mississippi,0
2019,Stanford,3
2019,Syracuse,10
2019,Temple,5
2019,Tennessee,11
2019,Texas,7
2019,Texas A&M,9
2019,Texas Christian,7
2019,Texas State,6
2019,Texas Tech,7
2019,Texas-El Paso,0
2019,Texas-San Antonio,0
2019,Toledo,4
2019,Troy,6
2019,Tulane,5
2019,Tulsa,5
2019,UCLA,3
2019,Utah,3
2019,Utah State,1
2019,Vanderbilt,11
2019,Virginia,8
2019,Virginia Tech,8
2019,Wake Forest,10
2019,Washington,3
2019,Washington State,3
2019,West Virginia,7
2019,Western Kentucky,0
2019,Western Michigan,4
2019,Wisconsin,2
2019,Wyoming,1
2020,Air Force,3
2020,Akron,11
2020,Alabama,1
2020,Alabama-Birmingham,9
2020,Appalachian State,5
2020,Arizona,12
2020,Arizona State,12
2020,Arkansas,1
2020,Arkansas State,5
2020,Army,4
2020,Auburn,1
2020,Ball State,10
2020,Baylor,6
2020,Boise State,3
2020,Boston College,0
2020,Bowling Green,11
2020,Brigham Young,5
2020,Buffalo,11
2020,California,8
2020,Central Florida,4
2020,Central Michigan,10
2020,Charlotte,7
2020,Cincinnati,4
2020,Clemson,0
2020,Coastal Carolina,5
2020,Colorado,12
2020,Colorado State,3
2020,Duke,0
2020,East Carolina,4
2020,Eastern Michigan,10
2020,Florida,1
2020,Florida Atlantic,7
2020,Florida International,7
2020,Florida State,0
2020,Fresno State,3
2020,Georgia,1
2020,Georgia Southern,5
2020,Georgia State,5
2020,Georgia Tech,0
2020,Hawaii,3
2020,Houston,4
2020,Illinois,2
2020,Indiana,2
2020,Iowa,2
2020,Iowa State,6
2020,Kansas,6
2020,Kansas State,6
2020,Kent State,11
2020,Kentucky,1
2020,Liberty,7
2020,Louisiana,5
2020,Louisiana State,1
2020,Louisiana Tech,9
2020,Louisiana-Monroe,5
2020,Louisville,0
2020,Marshall,7
2020,Maryland,2
2020,Massachusetts,7
2020,Memphis,4
2020,Miami (FL),0
2020,Miami (OH),11
2020,Michigan,2
2020,Michigan State,2
2020,Middle Tennessee State,7
2020,Minnesota,2
2020,Mississippi,1
2020,Mississippi State,1
2020,Missouri,1
2020,Navy,4
2020,Nebraska,2
2020,Nevada,3
2020,Nevada-Las Vegas,3
2020,New Mexico,3
2020,North Carolina,0
2020,North Carolina State,0
2020,North Texas,9
2020,Northern Illinois,10
2020,Northwestern,2
2020,Notre Dame,0
2020,Ohio,11
2020,Ohio State,2
2020,Oklahoma,6
2020,Oklahoma State,6
2020,Oregon,8
2020,Oregon State,8
2020,Penn State,2
2020,Pittsburgh,0
