season,team_id,team,through_week,division,conference,adj_off_epa,adj_def_epa,net_adj_epa,EPAplay_off,EPAplay_def,success_off,success_def,early_down_EPA_off,early_down_EPA_def,explosive_off,explosive_def,havoc_off,havoc_def,EPAdrive_off,EPAdrive_def,drivesgame_off,drivesgame_def,playsdrive_off,playsdrive_def,yardsdrive_off,yardsdrive_def,passrate_off,rushrate_off,red_zone_success_off,red_zone_success_def,third_down_success_off,third_down_success_def,third_down_distance_off,third_down_distance_def,plays_off,plays_def,EPAplay_off_pass,EPAplay_off_rush,EPAplay_def_pass,EPAplay_def_rush,success_off_pass,success_off_rush,success_def_pass,success_def_rush,explosive_off_pass,explosive_off_rush,explosive_def_pass,explosive_def_rush
2004,153,North Carolina,1,fbs,ACC,,,,-0.06313,0.25672,0.38806,0.48000,-0.13653,0.10926,0.08955,0.08000,0.11940,0.04000,-0.35246,1.60450,12.00000,12.00000,5.58333,6.25000,24.00000,36.75000,0.61194,0.38806,0.33333,0.50000,0.43750,0.57895,8.50000,4.84211,67,75,0.11656,-0.34648,0.45430,0.10968,0.43902,0.30769,0.56250,0.41860,0.12195,0.03846,0.09375,0.06977
2004,167,New Mexico,1,fbs,Mountain West,,,,0.10968,0.27875,0.43333,0.51562,-0.07179,0.13298,0.10000,0.10938,0.11667,0.04688,0.73117,2.22999,9.00000,8.00000,6.66667,8.00000,35.88889,45.00000,0.38333,0.61667,0.33333,0.61538,0.81818,0.60000,7.18182,4.26667,60,64,0.35828,-0.04486,1.34781,0.14746,0.52174,0.37838,0.57143,0.50877,0.08696,0.10811,0.42857,0.07018
2004,183,Syracuse,1,fbs,Big East,,,,-0.21748,0.24038,0.35484,0.53846,-0.34179,0.17672,0.08065,0.07692,0.22581,0.07692,-0.84273,1.20192,16.00000,13.00000,3.87500,5.00000,13.81250,32.07692,0.59677,0.40323,0.00000,0.63158,0.41667,0.69231,8.25000,5.46154,62,65,-0.25486,-0.16216,0.70992,0.04645,0.35135,0.36000,0.57895,0.52174,0.08108,0.08000,0.21053,0.02174
2004,189,Bowling Green,1,fbs,Mid-American,,,,0.17703,0.19026,0.49383,0.46032,-0.05535,0.12047,0.08642,0.09524,0.09877,0.14286,0.95596,0.85619,15.00000,14.00000,5.40000,4.50000,31.53333,31.35714,0.48148,0.51852,0.42857,0.50000,0.62500,0.38462,7.12500,7.46154,81,63,0.39361,-0.02408,0.44390,-0.17068,0.48718,0.50000,0.45946,0.46154,0.15385,0.02381,0.13514,0.03846
2004,193,Miami (OH),1,fbs,Mid-American,,,,-0.42841,-0.09494,0.30645,0.36585,-0.21545,-0.09862,0.01613,0.06098,0.11290,0.08537,-2.04317,-0.55609,13.00000,14.00000,4.76923,5.85714,18.84615,24.21429,0.69355,0.30645,0.66667,0.33333,0.23077,0.45000,8.69231,5.80000,62,82,-0.51157,-0.24021,-0.40149,0.05554,0.27907,0.36842,0.22222,0.43636,0.02326,0.00000,0.03704,0.07273
2004,194,Ohio State,1,fbs,Big Ten,,,,0.00880,-0.24109,0.40625,0.32258,-0.09226,-0.29550,0.03125,0.04839,0.06250,0.06452,0.04331,-1.14981,13.00000,13.00000,4.92308,4.76923,23.69231,18.53846,0.37500,0.62500,0.57143,0.50000,0.46667,0.33333,6.20000,8.13333,64,62,0.25851,-0.14103,-0.31344,-0.14092,0.41667,0.40000,0.33333,0.30769,0.04167,0.02500,0.02778,0.07692
2004,197,Oklahoma State,1,fbs,Big 12,,,,-0.24109,0.00880,0.32258,0.40625,-0.29550,-0.09226,0.04839,0.03125,0.06452,0.06250,-1.14981,0.04331,13.00000,13.00000,4.76923,4.92308,18.53846,23.69231,0.58065,0.41935,0.50000,0.57143,0.33333,0.46667,8.13333,6.20000,62,64,-0.31344,-0.14092,0.25851,-0.14103,0.33333,0.30769,0.41667,0.40000,0.02778,0.07692,0.04167,0.02500
2004,204,Oregon State,1,fbs,Pac-10,,,,0.12358,-0.12897,0.45614,0.26984,0.22768,-0.29343,0.03509,0.11111,0.08772,0.15873,0.54183,-0.67711,13.00000,12.00000,4.38462,5.25000,20.15385,20.83333,0.73684,0.26316,0.71429,0.50000,0.50000,0.43750,5.14286,8.87500,57,63,0.20764,-0.11181,0.05049,-0.31422,0.50000,0.33333,0.31250,0.22581,0.02381,0.06667,0.15625,0.06452
2004,235,Memphis,1,fbs,Conference USA,,,,0.19026,0.17703,0.46032,0.49383,0.12047,-0.05535,0.09524,0.08642,0.14286,0.09877,0.85619,0.95596,14.00000,15.00000,4.50000,5.40000,31.35714,31.53333,0.58730,0.41270,0.50000,0.42857,0.38462,0.62500,7.46154,7.12500,63,81,0.44390,-0.17068,0.39361,-0.02408,0.45946,0.46154,0.48718,0.50000,0.13514,0.03846,0.15385,0.02381
2004,249,North Texas,1,fbs,Sun Belt,,,,-0.35312,-0.07327,0.34328,0.40741,-0.28306,-0.01003,0.01493,0.07407,0.17910,0.12963,-1.57725,-0.32973,15.00000,12.00000,4.46667,4.50000,16.86667,21.83333,0.50746,0.49254,0.28571,0.40000,0.21429,0.38462,8.07143,8.07692,67,54,-0.52485,-0.17618,-0.01195,-0.13931,0.32353,0.36364,0.42857,0.38462,0.02941,0.00000,0.10714,0.03846
2004,258,Virginia,1,fbs,ACC,,,,0.24553,0.35685,0.37705,0.50000,-0.09172,0.31222,0.11475,0.08108,0.08197,0.04054,1.49774,2.40064,10.00000,11.00000,6.10000,6.72727,37.90000,38.27273,0.47541,0.52459,0.45455,0.50000,0.64286,0.56250,8.42857,7.00000,61,74,0.23110,0.25861,0.55469,0.14802,0.41379,0.34375,0.52632,0.47222,0.06897,0.15625,0.10526,0.05556
2004,259,Virginia Tech,1,fbs,ACC,,,,-0.23665,0.00435,0.29310,0.40000,-0.37746,-0.02830,0.08621,0.07273,0.17241,0.10909,-1.14379,0.02177,12.00000,11.00000,4.83333,5.00000,19.91667,27.36364,0.55172,0.44828,0.25000,0.00000,0.38462,0.50000,10.00000,7.57143,58,55,-0.47024,0.05085,0.06157,-0.05946,0.28125,0.30769,0.41379,0.38462,0.03125,0.15385,0.10345,0.03846
2004,276,Marshall,1,fbs,Mid-American,,,,-0.41870,0.03069,0.21569,0.42857,-0.66386,-0.12388,0.07843,0.03571,0.19608,0.04762,-2.13540,0.23437,10.00000,11.00000,5.10000,7.63636,12.60000,39.63636,0.68627,0.31373,0.20000,0.20000,0.28571,0.63158,8.71429,4.84211,51,84,-0.34355,-0.58310,0.06504,0.00092,0.28571,0.06250,0.46154,0.40000,0.11429,0.00000,0.05128,0.02222
2004,278,Fresno State,1,fbs,Western Athletic,,,,0.35685,0.24553,0.50000,0.37705,0.31222,-0.09172,0.08108,0.11475,0.04054,0.08197,2.40064,1.49774,11.00000,10.00000,6.72727,6.10000,38.27273,37.90000,0.51351,0.48649,0.50000,0.45455,0.56250,0.64286,7.00000,8.42857,74,61,0.55469,0.14802,0.23110,0.25861,0.52632,0.47222,0.41379,0.34375,0.10526,0.05556,0.06897,0.15625
2004,2132,Cincinnati,1,fbs,Conference USA,,,,0.03069,-0.41870,0.42857,0.21569,-0.12388,-0.66386,0.03571,0.07843,0.04762,0.19608,0.23437,-2.13540,11.00000,10.00000,7.63636,5.10000,39.63636,12.60000,0.46429,0.53571,0.20000,0.20000,0.63158,0.28571,4.84211,8.71429,84,51,0.06504,0.00092,-0.34355,-0.58310,0.46154,0.40000,0.28571,0.06250,0.05128,0.02222,0.11429,0.00000
2004,2426,Navy,1,fbs,FBS Independents,,,,0.27875,0.10968,0.51562,0.43333,0.13298,-0.07179,0.10938,0.10000,0.04688,0.11667,2.22999,0.73117,8.00000,9.00000,8.00000,6.66667,45.00000,35.88889,0.10938,0.89062,0.61538,0.33333,0.60000,0.81818,4.26667,7.18182,64,60,1.34781,0.14746,0.35828,-0.04486,0.57143,0.50877,0.52174,0.37838,0.42857,0.07018,0.08696,0.10811
2004,2459,Northern Illinois,1,fbs,Mid-American,,,,0.15021,-0.22250,0.40984,0.32759,0.06399,-0.24657,0.11475,0.08621,0.06557,0.13793,0.70483,-0.99269,13.00000,13.00000,4.69231,4.46154,23.30769,17.61538,0.34426,0.65574,0.46154,0.37500,0.46667,0.43750,7.13333,7.75000,61,58,-0.03843,0.24925,-0.41713,-0.08511,0.28571,0.47500,0.25000,0.38235,0.14286,0.10000,0.12500,0.05882
2004,2572,Southern Miss,1,fbs,Conference USA,,,,-0.07327,-0.35312,0.40741,0.34328,-0.01003,-0.28306,0.07407,0.01493,0.12963,0.17910,-0.32973,-1.57725,12.00000,15.00000,4.50000,4.46667,21.83333,16.86667,0.51852,0.48148,0.40000,0.28571,0.38462,0.21429,8.07692,8.07143,54,67,-0.01195,-0.13931,-0.52485,-0.17618,0.42857,0.38462,0.32353,0.36364,0.10714,0.03846,0.02941,0.00000
2004,2638,UTEP,1,fbs,Western Athletic,,,,-0.14010,0.09127,0.38095,0.38028,-0.21870,0.18898,0.04762,0.05634,0.17460,0.16901,-0.67896,0.49847,13.00000,13.00000,4.84615,5.46154,16.38462,31.38462,0.60317,0.39683,0.53846,0.33333,0.38462,0.33333,8.15385,8.40000,63,71,-0.11434,-0.17926,0.36995,-0.19537,0.36842,0.40000,0.50000,0.25714,0.07895,0.00000,0.08333,0.02857
2004,2641,Texas Tech,1,fbs,Big 12,,,,0.15497,0.05440,0.44444,0.51351,0.04505,0.12465,0.05556,0.05405,0.02778,0.06757,0.85830,0.30965,13.00000,13.00000,5.53846,5.69231,30.92308,31.53846,0.73611,0.26389,0.53333,0.70000,0.50000,0.38462,6.78571,5.61538,72,74,0.19492,0.04354,-0.03055,0.14906,0.41509,0.52632,0.41026,0.62857,0.05660,0.05263,0.10256,0.00000
2004,2649,Toledo,1,fbs,Mid-American,,,,-0.26885,0.07070,0.29730,0.43478,-0.45741,-0.05452,0.08108,0.08696,0.21622,0.05797,-1.53038,0.40654,13.00000,12.00000,5.69231,5.75000,16.69231,31.41667,0.56757,0.43243,0.40000,0.30769,0.50000,0.47059,8.83333,6.41176,74,69,-0.44988,-0.03126,0.07551,0.06445,0.23810,0.37500,0.41026,0.46667,0.07143,0.09375,0.07692,0.10000
2004,2653,Troy,1,fbs,Sun Belt,,,,-0.22250,0.15021,0.32759,0.40984,-0.24657,0.06399,0.08621,0.11475,0.13793,0.06557,-0.99269,0.70483,13.00000,13.00000,4.46154,4.69231,17.61538,23.30769,0.41379,0.58621,0.37500,0.46154,0.43750,0.46667,7.75000,7.13333,58,61,-0.41713,-0.08511,-0.03843,0.24925,0.25000,0.38235,0.28571,0.47500,0.12500,0.05882,0.14286,0.10000
2004,2751,Wyoming,1,fbs,Mountain West,,,,-0.09983,-0.07161,0.35385,0.40984,-0.12401,0.03733,0.09231,0.08197,0.13846,0.13115,-0.46351,-0.33604,14.00000,13.00000,4.64286,4.69231,26.28571,21.00000,0.60000,0.40000,0.25000,0.50000,0.28571,0.38462,9.71429,7.84615,65,61,-0.04693,-0.17919,-0.12111,-0.03951,0.38462,0.30769,0.33333,0.45946,0.15385,0.00000,0.12500,0.05405
2004,2,Auburn,2,fbs,SEC,,,,0.07854,-0.12229,0.42623,0.38596,-0.09433,-0.06298,0.11475,0.03509,0.08197,0.14035,0.43553,-0.63371,11.00000,11.00000,5.54545,5.18182,33.54545,21.18182,0.36066,0.63934,0.57143,0.00000,0.60000,0.16667,7.80000,6.33333,61,57,0.17605,0.02353,-0.20317,-0.07146,0.40909,0.43590,0.45455,0.34286,0.18182,0.07692,0.00000,0.05714
2004,5,UAB,2,fbs,Conference USA,-0.31345,0.07481,-0.38826,0.17465,0.00364,0.43151,0.44961,0.03176,-0.08003,0.08904,0.06202,0.10959,0.10078,0.84995,0.01620,15.00000,14.50000,4.86667,4.44828,28.73333,25.86207,0.45890,0.54110,0.55556,0.58333,0.55172,0.53571,7.51724,6.10714,146,129,0.13667,0.20686,-0.02797,0.07933,0.38806,0.46835,0.46154,0.42105,0.10448,0.07595,0.06593,0.05263
2004,8,Arkansas,2,fbs,SEC,,,,0.20466,-0.12340,0.58333,0.32653,0.11230,-0.09045,0.05556,0.08163,0.05556,0.08163,1.05256,-0.43189,14.00000,14.00000,5.14286,3.50000,33.42857,14.57143,0.30556,0.69444,0.60870,0.33333,0.64286,0.27273,5.85714,6.81818,72,49,0.78986,-0.05282,0.03673,-0.29019,0.63636,0.56000,0.44000,0.20833,0.13636,0.02000,0.12000,0.04167
2004,9,Arizona State,2,fbs,Pac-10,,,,-0.13856,-0.56955,0.30000,0.19403,-0.07749,-0.37800,0.03750,0.02985,0.13750,0.19403,-0.65203,-2.00842,17.00000,19.00000,4.70588,3.52632,22.11765,13.00000,0.56250,0.43750,0.36364,0.50000,0.31250,0.22222,8.25000,8.16667,80,67,-0.06629,-0.23148,-0.73036,-0.31597,0.33333,0.25714,0.21951,0.15385,0.06667,0.00000,0.02439,0.03846
2004,23,San Jose State,2,fbs,Western Athletic,,,,-0.14836,0.11087,0.34545,0.47761,-0.08316,-0.03198,0.05455,0.07463,0.14545,0.02985,-0.67997,0.57140,12.00000,13.00000,4.58333,5.15385,22.16667,28.69231,0.38182,0.61818,0.66667,0.88889,0.26667,0.43750,8.40000,7.06250,55,67,0.25888,-0.39989,0.38877,-0.12843,0.33333,0.35294,0.48387,0.47222,0.09524,0.02941,0.16129,0.00000
2004,24,Stanford,2,fbs,Pac-10,,,,0.11087,-0.14836,0.47761,0.34545,-0.03198,-0.08316,0.07463,0.05455,0.02985,0.14545,0.57140,-0.67997,13.00000,12.00000,5.15385,4.58333,28.69231,22.16667,0.46269,0.53731,0.88889,0.66667,0.43750,0.26667,7.06250,8.40000,67,55,0.38877,-0.12843,0.25888,-0.39989,0.48387,0.47222,0.33333,0.35294,0.16129,0.00000,0.09524,0.02941
2004,25,California,2,fbs,Pac-10,0.17031,0.06618,0.10413,0.25288,0.04867,0.53788,0.39437,0.21074,-0.06991,0.06818,0.05634,0.06818,0.07746,1.33519,0.27646,12.50000,12.50000,5.28000,5.68000,35.80000,25.48000,0.44697,0.55303,0.76923,0.61905,0.47826,0.53125,5.00000,6.78125,132,142,0.13717,0.34639,0.04234,0.05483,0.42373,0.63014,0.34286,0.44444,0.10169,0.04110,0.05714,0.05556
2004,26,UCLA,2,fbs,Pac-10,-0.13022,0.09700,-0.22722,-0.05173,-0.02360,0.40945,0.38168,-0.02758,0.00067,0.07874,0.09160,0.07874,0.09924,-0.26277,-0.11893,12.50000,13.00000,5.08000,5.03846,25.84000,28.03846,0.44882,0.55118,0.22222,0.43750,0.46429,0.28000,6.96429,8.60000,127,131,-0.23942,0.10111,-0.22681,0.09391,0.31579,0.48571,0.33333,0.40964,0.12281,0.04286,0.14583,0.06024
2004,30,USC,2,fbs,Pac-10,,,,0.00435,-0.23665,0.40000,0.29310,-0.02830,-0.37746,0.07273,0.08621,0.10909,0.17241,0.02177,-1.14379,11.00000,12.00000,5.00000,4.83333,27.36364,19.91667,0.52727,0.47273,0.00000,0.25000,0.50000,0.38462,7.57143,10.00000,55,58,0.06157,-0.05946,-0.47024,0.05085,0.41379,0.38462,0.28125,0.30769,0.10345,0.03846,0.03125,0.15385
2004,36,Colorado State,2,fbs,Mountain West,,,,-0.05785,0.02850,0.35484,0.50000,-0.15894,0.04366,0.08065,0.06061,0.12903,0.06061,-0.32604,0.20899,11.00000,9.00000,5.63636,7.33333,27.18182,35.33333,0.54839,0.45161,0.30000,0.42857,0.46154,0.46154,5.92308,6.53846,62,66,0.23421,-0.41248,-0.17953,0.14737,0.52941,0.14286,0.41667,0.54762,0.14706,0.00000,0.04167,0.07143
2004,38,Colorado,2,fbs,Big 12,0.06112,0.02925,0.03187,0.06103,-0.09930,0.43796,0.36800,0.11766,-0.18882,0.05839,0.06400,0.11679,0.15200,0.38005,-0.51721,11.00000,12.00000,6.22727,5.20833,33.00000,21.33333,0.43796,0.56204,0.38462,0.39394,0.39286,0.42308,7.53571,7.03846,137,125,0.15016,-0.00842,0.05025,-0.30247,0.46667,0.41558,0.44444,0.26415,0.06667,0.05195,0.11111,0.00000
2004,41,Connecticut,2,fbs,Big East,,,,0.07070,-0.26885,0.43478,0.29730,-0.05452,-0.45741,0.08696,0.08108,0.05797,0.21622,0.40654,-1.53038,12.00000,13.00000,5.75000,5.69231,31.41667,16.69231,0.56522,0.43478,0.30769,0.40000,0.47059,0.50000,6.41176,8.83333,69,74,0.07551,0.06445,-0.44988,-0.03126,0.41026,0.46667,0.23810,0.37500,0.07692,0.10000,0.07143,0.09375
2004,50,Florida A&M,2,fbs,FBS Independents,,,,-0.07053,0.15560,0.41558,0.53968,-0.00920,0.18208,0.03896,0.06349,0.07792,0.04762,-0.38790,0.81691,14.00000,12.00000,5.50000,5.25000,23.21429,30.58333,0.67532,0.32468,0.57143,0.50000,0.41176,0.45455,7.11765,3.45455,77,63,-0.18844,0.17473,0.12452,0.16903,0.40385,0.44000,0.52632,0.54545,0.01923,0.08000,0.10526,0.04545
2004,59,Georgia Tech,2,fbs,ACC,,,,0.24038,-0.21748,0.53846,0.35484,0.17672,-0.34179,0.07692,0.08065,0.07692,0.22581,1.20192,-0.84273,13.00000,16.00000,5.00000,3.87500,32.07692,13.81250,0.29231,0.70769,0.63158,0.00000,0.69231,0.41667,5.46154,8.25000,65,62,0.70992,0.04645,-0.25486,-0.16216,0.57895,0.52174,0.35135,0.36000,0.21053,0.02174,0.08108,0.08000
2004,62,Hawai'i,2,fbs,Western Athletic,,,,0.28016,0.14303,0.51667,0.43038,0.38090,0.08283,0.08333,0.07595,0.03333,0.10127,1.40082,0.70620,12.00000,16.00000,5.00000,4.93750,37.08333,26.06250,0.75000,0.25000,0.62500,0.60000,0.50000,0.40000,5.16667,8.00000,60,79,0.25828,0.34582,0.11729,0.18506,0.48889,0.60000,0.38776,0.50000,0.08889,0.06667,0.10204,0.03333
2004,66,Iowa State,2,fbs,Big 12,,,,-0.09494,-0.42841,0.36585,0.30645,-0.09862,-0.21545,0.06098,0.01613,0.08537,0.11290,-0.55609,-2.04317,14.00000,13.00000,5.85714,4.76923,24.21429,18.84615,0.32927,0.67073,0.33333,0.66667,0.45000,0.23077,5.80000,8.69231,82,62,-0.40149,0.05554,-0.51157,-0.24021,0.22222,0.43636,0.27907,0.36842,0.03704,0.07273,0.02326,0.00000
2004,77,Northwestern,2,fbs,Big Ten,,,,0.21408,0.28257,0.47826,0.44286,0.06088,0.00453,0.09783,0.08571,0.07609,0.11429,1.31305,1.16353,15.00000,17.00000,6.13333,4.11765,39.80000,28.76471,0.61957,0.38043,0.43750,0.50000,0.47059,0.69231,6.58824,7.46154,92,70,0.41406,-0.11158,0.54319,0.00663,0.50877,0.42857,0.47222,0.41176,0.12281,0.05714,0.13889,0.02941
2004,84,Indiana,2,fbs,Big Ten,,,,0.27366,-0.30076,0.48387,0.35484,0.08557,-0.09002,0.04839,0.08065,0.01613,0.14516,1.69669,-1.55395,10.00000,12.00000,6.20000,5.16667,32.00000,28.00000,0.22581,0.77419,0.50000,0.33333,0.84615,0.41667,4.76923,7.91667,62,62,1.03841,0.05061,-0.50440,0.12687,0.64286,0.43750,0.33333,0.40000,0.14286,0.02083,0.07143,0.10000
2004,87,Notre Dame,2,fbs,FBS Independents,,,,-0.12897,0.12358,0.26984,0.45614,-0.29343,0.22768,0.11111,0.03509,0.15873,0.08772,-0.67711,0.54183,12.00000,13.00000,5.25000,4.38462,20.83333,20.15385,0.50794,0.49206,0.50000,0.71429,0.43750,0.50000,8.87500,5.14286,63,57,0.05049,-0.31422,0.20764,-0.11181,0.31250,0.22581,0.50000,0.33333,0.15625,0.06452,0.02381,0.06667
2004,96,Kentucky,2,fbs,SEC,,,,-0.37915,-0.00928,0.29825,0.43939,-0.14640,0.06000,0.05263,0.10606,0.14035,0.09091,-1.66241,-0.05565,13.00000,11.00000,4.38462,6.00000,19.00000,35.54545,0.56140,0.43860,0.00000,0.44000,0.26667,0.53333,7.86667,6.93333,57,66,-0.38815,-0.36762,0.08239,-0.04913,0.28125,0.32000,0.45000,0.43478,0.06250,0.04000,0.20000,0.06522
2004,97,Louisville,2,fbs,Conference USA,,,,-0.00928,-0.37915,0.43939,0.29825,0.06000,-0.14640,0.10606,0.05263,0.09091,0.14035,-0.05565,-1.66241,11.00000,13.00000,6.00000,4.38462,35.54545,19.00000,0.30303,0.69697,0.44000,0.00000,0.53333,0.26667,6.93333,7.86667,66,57,0.08239,-0.04913,-0.38815,-0.36762,0.45000,0.43478,0.28125,0.32000,0.20000,0.06522,0.06250,0.04000
2004,99,LSU,2,fbs,SEC,,,,-0.36860,-0.18884,0.26471,0.33333,-0.27645,-0.17113,0.05882,0.06667,0.11765,0.09333,-1.56656,-0.78685,16.00000,18.00000,4.25000,4.16667,17.37500,14.38889,0.61765,0.38235,0.12500,0.75000,0.23529,0.40000,7.88235,7.15000,68,75,-0.29920,-0.48072,0.05742,-0.57947,0.26190,0.26923,0.45652,0.13793,0.07143,0.03846,0.08696,0.03448
2004,103,Boston College,2,fbs,Big East,0.00760,-0.03962,0.04723,0.07650,-0.24467,0.42754,0.30469,-0.06806,-0.25250,0.07246,0.04688,0.06522,0.12500,0.42228,-1.20455,12.50000,13.00000,5.52000,4.92308,30.88000,16.65385,0.39855,0.60145,0.48000,0.40000,0.54545,0.35294,6.18182,8.02941,138,128,0.09336,0.06533,-0.17007,-0.35371,0.47273,0.39759,0.32895,0.26923,0.07273,0.07229,0.06579,0.01923
2004,120,Maryland,2,fbs,ACC,,,,-0.13477,-0.12496,0.37288,0.36620,-0.10111,-0.11989,0.03390,0.08451,0.11864,0.15493,-0.61163,-0.80655,13.00000,11.00000,4.53846,6.45455,15.07692,27.81818,0.35593,0.64407,0.50000,0.33333,0.41667,0.33333,6.50000,6.72222,59,71,-0.21514,-0.09035,-0.08690,-0.15994,0.33333,0.39474,0.38235,0.35135,0.00000,0.05263,0.08824,0.08108
