Rk,Season,Team,Lg,BtRuns,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,XBH,TOB,TOBwe,Outs,RC,BAbip,RP,BtRuns.1,BtWins,ISO,AB/SO,SB%,SBatt,Hitting AIR,franchise,Rk_pit,Team_pit,Lg_pit,W_pit,GP_pit,W.1,L_pit,WL%_pit,ERA,G,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,PtchR,PtchW,WPA,WPA/LI,Clutch,RE24,REW,aLI,elo_start,elo_end,elo_delta,BtRuns/G,PtchR/G,RC/G,RA/G,RunDiff/G,BB%,SO%,HR%,XBH%,SV/G,WPA/G,Clutch/G,RE24/G,wl
12,2009,NYY,AL,124,162,103,59,0.636,37,6449,5660,915,1604,1014,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,114,2703,144,54,31,39,35,1238,5.6,590,2321,2380,4298,1003,0.306,1552,124,11.4,0.194,5.6,79.9,139,112,NYY,13,NYY,AL,103,162,103,59,0.636,4.26,162,3,1,51,1450.0,1386,753,687,181,574,28,1260,71,5,66,6247,108,4.32,1.352,8.6,1.1,3.6,7.8,2.2,50,5.5,9.4,4.6,1883.2,48.23,5.5,0.01,1500.0,1564.711739287016,64.71173928701592,0.7654320987654321,0.30864197530864196,6.191358024691358,4.648148148148148,0.9518518518518517,0.10280663668785858,0.1572336796402543,0.0378353233059389,0.09148705225616374,0.3148148148148148,0.058024691358024696,11.624691358024691,0.297716049382716,0.636
13,2023,LAD,NL,122,162,100,62,0.617,30,6333,5524,906,1422,850,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,114,2512,98,85,5,69,29,1163,5.6,572,2151,2192,4299,913,0.294,1534,122,11.5,0.197,4.1,80.8,130,101,LAD,21,LAD,NL,100,162,100,62,0.617,4.06,162,0,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,107,4.23,1.202,8.0,1.2,2.8,8.6,3.06,48,5.6,7.5,7.3,,75.05,8.4,0.0,1570.4343226320725,1586.8409720727357,16.406649440663386,0.7530864197530864,0.2962962962962963,5.635802469135802,4.314814814814815,1.2851851851851848,0.10168956260855834,0.2145902415916627,0.039317858834675506,0.0903205431864835,0.2716049382716049,0.046296296296296294,,0.4632716049382716,0.617
14,2024,NYY,AL,121,162,94,68,0.58,23,6245,5450,815,1352,857,243,15,237,782,88,26,672,1326,0.248,0.333,0.429,0.761,115,2336,138,49,14,57,26,1141,5.0,495,2073,2121,4333,829,0.283,1360,121,11.8,0.181,4.1,77.2,114,92,NYY,67,NYY,AL,94,162,94,68,0.58,3.74,162,0,0,45,1452.2,1272,668,604,181,533,8,1457,88,11,39,6131,108,4.06,1.243,7.9,1.1,3.3,9.0,2.73,46,5.1,8.6,3.6,,55.6,6.4,0.0,1505.7864530664422,1536.9385238039697,31.15207073752731,0.7469135802469136,0.2839506172839506,5.117283950617284,4.1234567901234565,0.8765432098765435,0.10760608486789432,0.21232986389111289,0.03795036028823059,0.07926341072858287,0.2777777777777778,0.053086419753086415,,0.3432098765432099,0.58
15,2022,LAD,NL,121,162,111,51,0.685,29,6247,5526,847,1418,850,325,31,212,812,98,18,607,1374,0.257,0.333,0.442,0.775,115,2441,85,56,3,53,22,1159,5.2,568,2081,2118,4267,864,0.302,1447,121,12.0,0.185,4.0,84.5,116,95,LAD,1,LAD,NL,111,162,111,51,0.685,2.8,162,1,1,43,1451.1,1114,513,451,152,407,13,1465,75,3,38,5865,145,3.45,1.048,6.9,0.9,2.5,9.1,3.6,194,20.6,17.9,18.6,,219.63,23.6,0.0,1563.5725749547723,1617.3905377201204,53.81796276534806,0.7469135802469136,1.1975308641975309,5.333333333333333,3.1666666666666665,2.0333333333333337,0.09716663998719385,0.2199455738754602,0.03393628941892108,0.09092364334880743,0.2654320987654321,0.11049382716049382,,1.3557407407407407,0.685
16,2015,TOR,AL,119,162,93,69,0.574,40,6232,5509,891,1480,923,308,17,232,852,88,23,570,1151,0.269,0.34,0.457,0.797,115,2518,140,54,36,62,12,1057,5.5,557,2104,2148,4290,878,0.298,1511,119,11.6,0.188,4.8,79.3,111,101,TOR,86,TOR,AL,93,162,93,69,0.574,3.8,162,7,2,34,1441.0,1353,670,609,173,397,20,1117,59,4,62,5984,108,4.09,1.214,8.5,1.1,2.5,7.0,2.81,43,5.1,0.0,4.9,-17.1,38.83,4.7,0.0,1506.0394073571,1567.8962064484963,61.8567990913964,0.7345679012345679,0.2654320987654321,5.419753086419753,4.135802469135802,1.3641975308641978,0.09146341463414634,0.18469191270860078,0.037227214377406934,0.08937740693196405,0.20987654320987653,0.0,-0.10555555555555557,0.23969135802469135,0.574
17,2024,ARI,NL,112,162,89,73,0.549,30,6284,5522,886,1452,933,271,37,211,845,119,30,569,1265,0.263,0.337,0.44,0.777,114,2430,112,84,34,66,17,1111,5.5,519,2105,2134,4312,856,0.302,1520,112,10.9,0.177,4.4,79.9,149,97,ARI,138,ARI,NL,89,162,89,73,0.549,4.62,162,0,0,38,1443.1,1468,788,741,181,481,32,1313,54,8,49,6195,91,4.09,1.35,9.2,1.1,3.0,8.2,2.73,-56,-5.1,-3.0,-2.8,,-47.61,-3.8,0.0,1498.480206897075,1531.8377170899726,33.35751019289751,0.691358024691358,-0.345679012345679,5.283950617283951,4.864197530864198,0.6358024691358022,0.09054742202418842,0.2013049013367282,0.03357733927434755,0.08259070655633355,0.2345679012345679,-0.018518518518518517,,-0.29388888888888887,0.549
18,2012,LAA,AL,111,162,89,73,0.549,35,6121,5536,767,1518,1036,273,22,187,732,134,33,449,1113,0.274,0.332,0.433,0.764,114,2396,138,47,47,41,29,1079,4.7,482,2014,2072,4277,809,0.311,1312,111,10.7,0.159,5.0,80.2,167,94,LAA,148,LAA,AL,89,162,89,73,0.549,4.02,162,6,5,38,1433.1,1339,699,640,186,483,20,1157,40,2,38,6034,95,4.26,1.271,8.4,1.2,3.0,7.3,2.4,-36,-3.2,-0.9,-0.7,-220.5,-13.01,-0.8,0.0,1510.4178069752002,1535.4224243797132,25.004617404513056,0.6851851851851852,-0.2222222222222222,4.993827160493828,4.314814814814815,0.3851851851851853,0.07335402711975167,0.1818330338180036,0.030550563633393236,0.07874530305505636,0.2345679012345679,-0.005555555555555556,-1.3611111111111112,-0.08030864197530864,0.549
19,2025,LAD,NL,110,162,93,69,0.574,27,6187,5481,825,1384,862,257,21,244,791,88,25,580,1353,0.253,0.327,0.441,0.768,115,2415,108,56,13,54,33,1093,5.1,522,2020,2049,4297,828,0.289,1372,110,10.7,0.188,4.1,77.9,113,94,LAD,76,LAD,NL,93,162,93,69,0.574,3.95,162,0,0,46,1441.0,1250,683,633,175,563,33,1505,65,5,71,6077,105,3.93,1.258,7.8,1.1,3.5,9.4,2.67,32,4.0,5.1,8.2,37.2,52.85,6.4,0.11,1540.7327807175163,1556.846420897817,16.11364018030099,0.6790123456790124,0.19753086419753085,5.111111111111111,4.216049382716049,0.8839506172839506,0.0937449490867949,0.2186843381283336,0.03943753030547923,0.08437045417811541,0.2839506172839506,0.03148148148148148,0.22962962962962966,0.32623456790123456,0.574
20,2024,BAL,AL,109,162,91,71,0.562,34,6176,5567,786,1391,861,262,33,235,759,98,25,489,1359,0.25,0.315,0.435,0.751,115,2424,71,64,6,45,14,1108,4.9,530,1944,1971,4323,801,0.288,1310,109,10.9,0.186,4.1,79.7,123,88,BAL,106,BAL,AL,91,162,91,71,0.562,3.94,162,0,0,46,1442.0,1303,699,632,175,481,9,1380,53,8,46,6071,99,3.94,1.237,8.1,1.1,3.0,8.6,2.87,-12,-0.6,3.4,4.0,,4.63,1.5,0.0,1528.9776831085867,1529.8257059469822,0.8480228383955364,0.6728395061728395,-0.07407407407407407,4.944444444444445,4.314814814814815,0.5851851851851855,0.07917746113989638,0.22004533678756477,0.03805051813471503,0.0858160621761658,0.2839506172839506,0.020987654320987655,,0.028580246913580246,0.562
21,2021,HOU,AL,109,162,95,67,0.586,42,6291,5593,863,1496,962,299,14,221,834,53,16,569,1222,0.267,0.339,0.444,0.783,113,2486,136,64,9,54,25,1159,5.3,534,2129,2169,4312,864,0.303,1476,109,10.5,0.177,4.6,76.8,69,99,HOU,54,HOU,AL,95,162,95,67,0.586,3.78,162,2,0,34,1445.0,1231,658,607,187,549,12,1456,70,4,72,6060,114,4.12,1.232,7.7,1.2,3.4,9.1,2.65,86,8.8,9.5,10.8,3143.2,109.05,11.3,0.0,1524.16371740834,1555.17670400959,31.01298660125008,0.6728395061728395,0.5308641975308642,5.333333333333333,4.061728395061729,1.2382716049382712,0.09044666984581147,0.19424574789381657,0.03512955015100938,0.08488316642823081,0.20987654320987653,0.05864197530864197,19.40246913580247,0.6731481481481482,0.586
22,2023,TBR,AL,104,162,99,63,0.611,21,6164,5511,860,1432,896,282,24,230,827,160,41,514,1420,0.26,0.331,0.445,0.776,114,2452,109,95,6,38,7,1047,5.3,536,2041,2083,4273,840,0.308,1457,104,10.0,0.185,3.9,79.6,201,97,TBR,25,TBR,AL,99,162,99,63,0.611,3.86,162,0,0,45,1442.0,1258,665,618,177,439,10,1507,63,1,65,5994,110,3.8,1.177,7.9,1.1,2.7,9.4,3.43,63,7.0,7.3,9.2,,81.18,9.1,0.0,1522.5537820500924,1564.552542262151,41.99876021205864,0.6419753086419753,0.3888888888888889,5.185185185185185,4.104938271604938,1.1950617283950615,0.08338741077222583,0.23036988968202465,0.03731343283582089,0.08695652173913043,0.2777777777777778,0.04506172839506173,,0.5011111111111112,0.611
23,2022,NYM,NL,103,162,101,61,0.623,38,6176,5489,772,1422,952,272,27,171,735,62,22,510,1217,0.259,0.332,0.412,0.744,113,2261,122,112,20,44,25,1158,4.8,470,2044,2079,4275,777,0.302,1336,103,10.2,0.153,4.5,73.8,84,90,NYM,18,NYM,NL,101,162,101,61,0.623,3.57,162,0,0,41,1438.2,1274,606,570,169,428,13,1565,71,2,35,5950,109,3.5,1.183,8.0,1.1,2.7,9.8,3.66,61,6.9,12.9,10.0,,95.07,10.8,0.0,1492.028393922992,1546.694417675465,54.666023752473166,0.6358024691358025,0.3765432098765432,4.796296296296297,3.740740740740741,1.059259259259259,0.08257772020725389,0.19705310880829016,0.027687823834196892,0.07610103626943006,0.25308641975308643,0.07962962962962963,,0.5868518518518518,0.623
24,2016,BOS,AL,101,162,93,69,0.574,43,6320,5670,878,1598,1022,343,25,208,836,83,24,558,1160,0.282,0.348,0.461,0.81,112,2615,137,43,8,40,34,1162,5.4,576,2199,2254,4281,929,0.32,1506,101,9.5,0.179,4.9,77.6,107,107,BOS,85,BOS,AL,93,162,93,69,0.574,4.0,162,9,1,43,1440.0,1342,694,640,176,490,16,1362,65,0,52,6073,112,4.0,1.272,8.4,1.1,3.1,8.5,2.78,71,7.5,3.4,8.2,841.3,54.67,5.4,0.0,1503.2644719238797,1555.7024184649522,52.437946541072506,0.6234567901234568,0.4382716049382716,5.734567901234568,4.283950617283951,1.1160493827160494,0.08829113924050633,0.18354430379746836,0.03291139240506329,0.09113924050632911,0.2654320987654321,0.020987654320987655,5.19320987654321,0.3374691358024691,0.574
25,2025,SEA,AL,100,162,90,72,0.556,28,6200,5502,766,1345,864,234,9,238,734,161,37,544,1446,0.244,0.32,0.42,0.74,112,2311,102,89,24,38,29,1120,4.7,481,1978,2005,4358,777,0.287,1262,100,9.8,0.176,3.8,81.3,198,89,SEA,119,SEA,AL,90,162,90,72,0.556,3.87,162,0,0,43,1462.2,1331,694,629,192,454,26,1426,74,3,53,6134,99,3.97,1.22,8.2,1.2,2.8,8.8,3.14,-10,-0.5,8.4,2.6,,23.26,3.0,0.0,1518.202844174593,1533.0201485976777,14.817304423084124,0.6172839506172839,-0.06172839506172839,4.796296296296297,4.283950617283951,0.4160493827160492,0.08774193548387096,0.2332258064516129,0.038387096774193545,0.07758064516129032,0.2654320987654321,0.05185185185185186,,0.14358024691358026,0.556
26,2025,CHC,NL,97,162,92,70,0.568,22,6162,5495,793,1371,852,267,29,223,771,161,35,554,1277,0.249,0.32,0.43,0.751,113,2365,72,46,10,55,16,1108,4.9,519,1971,2009,4296,804,0.283,1341,97,9.5,0.181,4.3,82.1,196,91,CHC,91,CHC,NL,92,162,92,70,0.568,3.79,162,0,0,44,1435.1,1284,649,605,202,405,9,1265,53,1,29,5904,106,4.16,1.177,8.1,1.3,2.5,7.9,3.12,38,4.2,8.1,6.2,,60.14,6.9,0.0,1513.1442020545646,1538.3196028744785,25.175400819913648,0.5987654320987654,0.2345679012345679,4.962962962962963,4.006172839506172,0.8938271604938279,0.0899058747160013,0.20723790976955533,0.0361895488477767,0.08422590068159688,0.2716049382716049,0.049999999999999996,,0.37123456790123455,0.568
27,2018,BOS,AL,96,162,108,54,0.667,40,6302,5623,876,1509,915,355,31,208,829,125,31,569,1253,0.268,0.339,0.453,0.792,112,2550,130,55,7,48,38,1124,5.4,594,2133,2201,4330,905,0.309,1497,96,9.0,0.185,4.5,80.1,156,103,BOS,2,BOS,AL,108,162,108,54,0.667,3.75,162,2,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,118,3.82,1.246,8.1,1.1,3.2,9.6,3.04,109,11.5,12.0,9.2,4004.8,105.97,10.8,0.0,1532.7263282187812,1579.427521492706,46.70119327392467,0.5925925925925926,0.6728395061728395,5.58641975308642,3.993827160493827,1.4061728395061732,0.0902887972072358,0.19882576959695336,0.03300539511266265,0.09425579181212314,0.2839506172839506,0.07407407407407407,24.72098765432099,0.6541358024691358,0.667
28,2019,LAD,NL,95,162,106,56,0.654,46,6282,5493,886,1414,813,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,111,2593,100,81,55,45,47,1124,5.5,601,2102,2149,4289,930,0.291,1468,95,8.7,0.215,4.1,85.1,67,107,LAD,7,LAD,NL,106,162,106,56,0.654,3.37,162,3,1,44,1445.2,1201,613,541,185,392,24,1519,66,7,40,5913,123,3.73,1.102,7.5,1.2,2.4,9.5,3.88,118,12.1,13.2,17.1,213.7,144.11,15.4,0.06,1538.6340895356436,1593.4485681761726,54.81447864052893,0.5864197530864198,0.7283950617283951,5.7407407407407405,3.7839506172839505,1.7160493827160495,0.09662527857370264,0.21585482330468003,0.044412607449856735,0.09567016873607131,0.2716049382716049,0.08148148148148147,1.3191358024691358,0.889567901234568,0.654
29,2014,DET,AL,95,162,90,72,0.556,37,6202,5630,757,1557,1051,325,26,155,731,106,41,443,1144,0.277,0.331,0.426,0.757,113,2399,137,44,24,61,51,1111,4.7,506,2044,2104,4336,797,0.319,1333,95,9.4,0.15,4.9,72.1,147,93,DET,129,DET,AL,90,162,90,72,0.556,4.01,162,5,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,97,3.6,1.332,9.1,0.8,2.9,7.7,2.69,-20,-1.5,2.4,-0.8,603.1,-30.9,-2.8,0.0,1529.736711508815,1528.395950535499,-1.340760973316037,0.5864197530864198,-0.12345679012345678,4.919753086419753,4.351851851851852,0.3481481481481481,0.07142857142857142,0.18445662689455014,0.024991938084488876,0.08158658497258948,0.25308641975308643,0.014814814814814814,3.7228395061728397,-0.19074074074074074,0.556
30,2025,NYM,NL,93,162,83,79,0.512,22,6178,5457,766,1359,854,262,19,224,746,147,18,563,1325,0.249,0.326,0.427,0.753,112,2331,119,87,15,53,28,1142,4.7,505,2009,2039,4303,803,0.287,1288,93,9.0,0.178,4.1,89.1,165,93,NYM,215,NYM,NL,83,162,83,79,0.512,4.03,162,1,1,40,1432.1,1338,715,641,149,556,6,1387,80,4,62,6153,103,3.88,1.322,8.4,0.9,3.5,8.7,2.49,9,1.6,2.0,4.4,,7.85,1.5,0.0,1517.6858660620403,1511.2416906950664,-6.44417536697415,0.5740740740740741,0.05555555555555555,4.95679012345679,4.41358024691358,0.2864197530864203,0.09112981547426352,0.2144707024927161,0.036257688572353515,0.08174166396892198,0.24691358024691357,0.012345679012345678,,0.048456790123456786,0.512
31,2022,STL,NL,93,162,93,69,0.574,24,6165,5496,772,1386,878,290,21,197,739,95,25,537,1226,0.252,0.325,0.42,0.745,112,2309,112,80,5,45,11,1132,4.8,508,2003,2040,4297,787,0.289,1314,93,9.1,0.168,4.5,79.2,120,91,STL,79,STL,NL,93,162,93,69,0.574,3.79,162,3,1,37,1436.0,1335,637,605,146,489,11,1177,60,3,43,6014,104,3.94,1.27,8.4,0.9,3.1,7.4,2.41,34,3.9,10.4,6.6,,72.38,8.1,0.0,1517.8449430712433,1536.637209834536,18.792266763292677,0.5740740740740741,0.20987654320987653,4.8580246913580245,3.932098765432099,0.8679012345679009,0.08710462287104623,0.19886455798864558,0.03195458231954582,0.0824006488240065,0.22839506172839505,0.06419753086419754,,0.4467901234567901,0.574
32,2021,TOR,AL,93,162,91,71,0.562,46,6070,5476,846,1455,895,285,13,262,816,81,20,496,1218,0.266,0.33,0.466,0.797,113,2552,112,51,10,35,14,1056,5.2,560,2002,2039,4198,866,0.296,1400,93,8.9,0.2,4.5,80.2,101,102,TOR,107,TOR,AL,91,162,91,71,0.562,3.91,162,1,1,34,1405.1,1257,663,610,209,473,10,1468,75,4,54,5916,115,4.18,1.231,8.1,1.3,3.0,9.4,3.1,89,9.2,6.9,7.1,2297.2,92.51,9.9,0.0,1494.8880606207092,1543.5566686475142,48.66860802680503,0.5740740740740741,0.5493827160493827,5.345679012345679,4.092592592592593,1.1074074074074076,0.08171334431630972,0.20065897858319603,0.04316309719934102,0.09225700164744646,0.20987654320987653,0.04259259259259259,14.180246913580246,0.5710493827160494,0.562
